experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,reconstruction_threshold,use_network_features,drop_original_port_columns,log_transform,log_transform_columns,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,remove_correlated_features,correlation_threshold,encoder_layers,latent_dim,activation,output_activation,batch_norm,dropout,loss_function,learning_rate,batch_size,epochs,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,denoising,noise_std,weight_decay,device,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,threshold_metric,threshold_candidates,tuning_stage_1,tuning_stage_2,trial_reconstruction_threshold,selected_metric,trial
AE-21e-final,easy,Validation,0.9276592983986361,0.7991085271317829,0.8094780031017491,0.8042598425964755,0.9328057956492657,0.8422620518337796,0.056787677109241486,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.02,0.0001,auto,True,10,0.0001,43,33,0.024678174652195527,f1,200,True,True,0.056787677109241486,0.8422620518337796,1
AE-21e-final,easy,Validation,0.9249489098976036,0.8000079693975135,0.7882761734623766,0.7940987432142469,0.9276311558345863,0.8243096957436067,0.04480215212582945,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.001,4096,200,False,0.5,5,1e-06,True,0.02,0.0001,auto,True,10,0.0001,67,57,0.021523637112071916,f1,200,True,True,0.04480215212582945,0.8243096957436067,2
AE-21e-final,easy,Validation,0.9345902519724204,0.8458455502351974,0.7871964506566678,0.8154678380412015,0.9206939840419234,0.8283657741216545,0.10627925395965576,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.001,4096,200,False,0.5,5,1e-06,True,0.05,0.0001,auto,True,10,0.0001,24,14,0.029160916826844914,f1,200,True,True,0.10627925395965576,0.8283657741216545,3
AE-21e-final,easy,Validation,0.9378665061578441,0.8776672045902815,0.7687233750171774,0.8195908115744859,0.9222446231839931,0.828532006202736,0.08931830570326375,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.001,4096,200,False,0.5,5,1e-06,True,0.1,0.0001,auto,True,10,0.0001,47,37,0.014501524714563176,f1,200,True,True,0.08931830570326375,0.828532006202736,4
AE-21e-final,easy,Validation,0.9256156943027778,0.7859610048885449,0.8174679518639942,0.8014049268668206,0.9388907858416398,0.8490231822226529,0.03045770748700936,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.001,4096,200,True,0.5,5,1e-06,False,0.02,0.0001,auto,True,10,0.0001,84,74,0.011553216731409844,f1,200,True,True,0.03045770748700936,0.8490231822226529,5
AE-21e-final,easy,Validation,0.9247326554959254,0.7993625498007968,0.7877657590451325,0.7935217868478035,0.9380009581672355,0.8357295346051647,0.040181685239076614,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.001,4096,200,True,0.5,5,1e-06,True,0.02,0.0001,auto,True,10,0.0001,63,53,0.019516333709994907,f1,200,True,True,0.040181685239076614,0.8357295346051647,6
AE-21e-final,easy,Validation,0.9297317364147183,0.8220892831533876,0.7877461277213923,0.8045513784461152,0.9299450442415669,0.8371014538038712,0.07206547260284424,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.001,4096,200,True,0.5,5,1e-06,True,0.05,0.0001,auto,True,10,0.0001,39,29,0.023837824053749228,f1,200,True,True,0.07206547260284424,0.8371014538038712,7
AE-21e-final,easy,Validation,0.9393009936889757,0.8944518994956272,0.7589469757945778,0.8211467592740094,0.9388478892949704,0.8455556420503008,0.09077484160661697,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.001,4096,200,True,0.5,5,1e-06,True,0.1,0.0001,auto,True,10,0.0001,49,39,0.013955284900697007,f1,200,True,True,0.09077484160661697,0.8455556420503008,8
AE-21e-final,easy,Validation,0.9151093346212484,0.7728124003825311,0.7614794165570584,0.7671040531587743,0.9202542430228196,0.7696206262296189,0.11345581957443279,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.05,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.02,0.0001,auto,True,10,0.0001,35,25,0.038043797992529306,f1,200,True,True,0.11345581957443279,0.7696206262296189,9
AE-21e-final,easy,Validation,0.9138082039711517,0.7619361467036269,0.7716288109307211,0.7667518483116478,0.9221068659995947,0.789943553884464,0.09633698726269468,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.05,mse,0.001,4096,200,False,0.5,5,1e-06,True,0.02,0.0001,auto,True,10,0.0001,41,31,0.03824194653019306,f1,200,True,True,0.09633698726269468,0.789943553884464,10
AE-21e-final,easy,Validation,0.9178557655225608,0.7652768876993252,0.797051375174228,0.7808410181454521,0.9226596677028143,0.796630427711521,0.11260771751403809,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.05,mse,0.001,4096,200,False,0.5,5,1e-06,True,0.05,0.0001,auto,True,10,0.0001,24,14,0.04021170327766594,f1,200,True,True,0.11260771751403809,0.796630427711521,11
