experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,reconstruction_threshold,use_network_features,drop_original_port_columns,log_transform,log_transform_columns,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,remove_correlated_features,correlation_threshold,encoder_layers,latent_dim,activation,output_activation,batch_norm,dropout,loss_function,learning_rate,batch_size,epochs,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,denoising,noise_std,weight_decay,device,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,threshold_metric,threshold_candidates,tuning_stage_1,tuning_stage_2,trial_reconstruction_threshold,selected_metric,trial
AE-21m-final,medium,Validation,0.929641624257091,0.8511563910078711,0.7721323812845317,0.809720885466795,0.9406219992251016,0.8459313013393499,0.09387484368816683,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.0005,4096,200,False,0.5,3,1e-06,False,0.01,0.0001,auto,True,10,0.0001,37,27,0.13970951921139255,f1,200,True,True,0.09387484368816683,0.8459313013393499,1
AE-21m-final,medium,Validation,0.9295348588917756,0.8508528763076425,0.7718570458341746,0.809432146294514,0.9388310532886561,0.8474188332628112,0.08859891103739707,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.0005,4096,200,False,0.5,3,1e-06,True,0.01,0.0001,auto,True,10,0.0001,39,29,0.25928153745643984,f1,200,True,True,0.08859891103739707,0.8474188332628112,2
AE-21m-final,medium,Validation,0.9190433823267732,0.840483292915853,0.7188825051854844,0.7749416280818394,0.9134338102235705,0.7939830426170067,0.21851313466103237,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.0005,4096,200,False,0.5,3,1e-06,True,0.02,0.0001,auto,True,10,0.0001,13,3,0.31527865387875265,f1,200,True,True,0.21851313466103237,0.7939830426170067,3
AE-21m-final,medium,Validation,0.9225168155450372,0.8309018433459461,0.7537583288973733,0.7904523580365737,0.9239532200392002,0.8292466950121358,0.12029534076625971,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.0005,4096,200,False,0.5,3,1e-06,True,0.05,0.0001,auto,True,10,0.0001,24,14,0.26992040681608137,f1,200,True,True,0.12029534076625971,0.8292466950121358,4
AE-21m-final,medium,Validation,0.9258478949428806,0.8402338140409782,0.7625323519154169,0.7994996150885296,0.9399731306023216,0.8464835146836224,0.09093284606933594,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.0005,4096,200,True,0.5,3,1e-06,False,0.01,0.0001,auto,True,10,0.0001,52,42,0.15720239356221508,f1,200,True,True,0.09093284606933594,0.8464835146836224,5
AE-21m-final,medium,Validation,0.9235061745969607,0.8337144129013981,0.7563097707373483,0.7931280076997113,0.9231486383244709,0.8244195095418095,0.11638756085131025,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.0005,4096,200,True,0.5,3,1e-06,True,0.01,0.0001,auto,True,10,0.0001,24,14,0.282814819774622,f1,200,True,True,0.11638756085131025,0.8244195095418095,6
AE-21m-final,medium,Validation,0.9312502224278444,0.9016288579718091,0.7244442812826961,0.8033831372389366,0.9321821582166422,0.8326649333152981,0.16581485701266246,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.0005,4096,200,True,0.5,3,1e-06,True,0.02,0.0001,auto,True,10,0.0001,30,20,0.285685879052189,f1,200,True,True,0.16581485701266246,0.8326649333152981,7
AE-21m-final,medium,Validation,0.9244172390476529,0.836304405010016,0.7586592999137283,0.7955919153031761,0.930310912478684,0.8400720580642187,0.10971649702469907,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.0005,4096,200,True,0.5,3,1e-06,True,0.05,0.0001,auto,True,10,0.0001,24,14,0.27007539882731746,f1,200,True,True,0.10971649702469907,0.8400720580642187,8
AE-21m-final,medium,Validation,0.929641624257091,0.8511563910078711,0.7721323812845317,0.809720885466795,0.9406219992251016,0.8459313013393499,0.09387484368816683,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.0005,4096,200,True,0.5,5,1e-06,False,0.01,0.0001,auto,True,10,0.0001,37,27,0.13970951921139255,f1,200,True,True,0.09387484368816683,0.8459313013393499,9
AE-21m-final,medium,Validation,0.9239439125947543,0.8349520456476872,0.7574478239321574,0.7943138179613286,0.9130525948560638,0.817130512603663,0.11822360754013062,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.0005,4096,200,True,0.5,5,1e-06,True,0.01,0.0001,auto,True,10,0.0001,24,14,0.272016375554073,f1,200,True,True,0.11822360754013062,0.817130512603663,10
AE-21m-final,medium,Validation,0.9306594540730987,0.8990398868845355,0.723618274931625,0.8018468798307705,0.9272322747641089,0.8321708245878084,0.14117079973220825,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.0005,4096,200,True,0.5,5,1e-06,True,0.02,0.0001,auto,True,10,0.0001,34,24,0.2720393370259622,f1,200,True,True,0.14117079973220825,0.8321708245878084,11
