experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,reconstruction_threshold,use_network_features,drop_original_port_columns,log_transform,log_transform_columns,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,remove_correlated_features,correlation_threshold,encoder_layers,latent_dim,activation,output_activation,batch_norm,dropout,loss_function,learning_rate,batch_size,epochs,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,denoising,noise_std,weight_decay,device,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,threshold_metric,threshold_candidates,tuning_stage_1,tuning_stage_2,trial_reconstruction_threshold,selected_metric,trial
AE-24h-final,hard,Validation,0.9169355526495337,0.827794184934071,0.7250305116855201,0.7730119733149478,0.9369721627133083,0.8551266133956058,0.010938720777630806,True,True,True,auto,True,standard,True,select_k_best,40,True,0.95,"[128, 64, 32]",32,relu,none,True,0.0,mse,0.0005,4096,200,False,0.5,3,1e-06,False,0.01,0.0001,auto,True,10,0.0001,53,43,0.0026644734814566698,f1,200,True,True,0.010938720777630806,0.8551266133956058,1
AE-24h-final,hard,Validation,0.9201728451216739,0.9095592877888622,0.6560285625808332,0.7622655886212589,0.9372036690852807,0.8479523771172879,0.027134613344567557,True,True,True,auto,True,standard,True,select_k_best,40,True,0.95,"[128, 64, 32]",32,relu,none,True,0.0,mse,0.0005,4096,200,False,0.5,3,1e-06,True,0.01,0.0001,auto,True,10,0.0001,53,43,0.002975947632750046,f1,200,True,True,0.027134613344567557,0.8479523771172879,2
AE-24h-final,hard,Validation,0.9193306515806231,0.8557411827101564,0.7053937373626974,0.7733277416649192,0.9239922830841021,0.8321795301114444,0.015570054874385668,True,True,True,auto,True,standard,True,select_k_best,40,True,0.95,"[128, 64, 32]",32,relu,none,True,0.0,mse,0.0005,4096,200,False,0.5,3,1e-06,True,0.02,0.0001,auto,True,10,0.0001,56,46,0.0027435762746716888,f1,200,True,True,0.015570054874385668,0.8321795301114444,3
AE-24h-final,hard,Validation,0.9150592733682056,0.8535060906063233,0.6815672987594951,0.7579075302577607,0.934776585359492,0.8306407573264439,0.013442479621562815,True,True,True,auto,True,standard,True,select_k_best,40,True,0.95,"[128, 64, 32]",32,relu,none,True,0.0,mse,0.0005,4096,200,False,0.5,3,1e-06,True,0.05,0.0001,auto,True,10,0.0001,53,43,0.0027149797288836693,f1,200,True,True,0.013442479621562815,0.8306407573264439,4
AE-24h-final,hard,Validation,0.9206312542642711,0.8597852028639618,0.7087272528553473,0.7769822963783962,0.9397034468522576,0.8619998310323755,0.0075111646303467105,True,True,True,auto,True,standard,True,select_k_best,40,True,0.95,"[128, 64, 32]",32,relu,none,True,0.0,mse,0.0005,4096,200,True,0.5,3,1e-06,False,0.01,0.0001,auto,True,10,0.0001,86,76,0.001227735740527475,f1,200,True,True,0.0075111646303467105,0.8619998310323755,5
AE-24h-final,hard,Validation,0.9171985160336593,0.8385334076201089,0.712807621545804,0.7705758987032679,0.9529943541998489,0.8736434667915157,0.007427654713485859,True,True,True,auto,True,standard,True,select_k_best,40,True,0.95,"[128, 64, 32]",32,relu,none,True,0.0,mse,0.0005,4096,200,True,0.5,3,1e-06,True,0.01,0.0001,auto,True,10,0.0001,72,62,0.0014975865420081226,f1,200,True,True,0.007427654713485859,0.8736434667915157,6
AE-24h-final,hard,Validation,0.9221024277916762,0.8643595863166269,0.712497950707689,0.7811161369559356,0.9509237352854976,0.8673355772260932,0.009489338596973883,True,True,True,auto,True,standard,True,select_k_best,40,True,0.95,"[128, 64, 32]",32,relu,none,True,0.0,mse,0.0005,4096,200,True,0.5,3,1e-06,True,0.02,0.0001,auto,True,10,0.0001,74,64,0.0015244652938364057,f1,200,True,True,0.009489338596973883,0.8673355772260932,7
AE-24h-final,hard,Validation,0.9183427621105299,0.8134870747230297,0.7543763775798313,0.7828174471905864,0.9468048209016611,0.8566798302243235,0.005560686172983008,True,True,True,auto,True,standard,True,select_k_best,40,True,0.95,"[128, 64, 32]",32,relu,none,True,0.0,mse,0.0005,4096,200,True,0.5,3,1e-06,True,0.05,0.0001,auto,True,10,0.0001,77,67,0.0014391828529837381,f1,200,True,True,0.005560686172983008,0.8566798302243235,8
AE-24h-final,hard,Validation,0.9193555264953377,0.8441006133396021,0.7194928684627575,0.7768315468580982,0.9312563440822423,0.8500781403300033,0.006897969637066126,True,True,True,auto,True,standard,True,select_k_best,40,True,0.95,"[128, 64, 32]",32,relu,none,True,0.0,mse,0.0005,4096,200,True,0.5,5,1e-06,False,0.01,0.0001,auto,True,10,0.0001,79,69,0.0014484477259430022,f1,200,True,True,0.006897969637066126,0.8500781403300033,9
AE-24h-final,hard,Validation,0.9201728451216739,0.9095592877888622,0.6560285625808332,0.7622655886212589,0.9372036690852807,0.8479523771172879,0.027134613344567557,True,True,True,auto,True,standard,True,select_k_best,40,True,0.95,"[128, 64, 32]",32,relu,none,True,0.0,mse,0.0005,4096,200,True,0.5,5,1e-06,True,0.01,0.0001,auto,True,10,0.0001,53,43,0.002975947632750046,f1,200,True,True,0.027134613344567557,0.8479523771172879,10
