experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,use_network_features,drop_original_port_columns,feature_selection,feature_selection_method,selected_k_features,smote,use_pos_weight,pos_weight_mode,pos_weight_value,input_noise_std,input_dropout,global_pooling,gradient_clip_norm,conv_channels,kernel_size,fc_layers,activation,dropout,learning_rate,batch_size,epochs,weight_decay,device,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,tuning_stage_1,tuning_stage_2,trial,selected_metric
CNN-20e-tune,easy,Validation,0.9792143477587033,0.9074100797287059,0.9875537407487387,0.945787153238012,0.9968340692247428,0.9854391406985006,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",3,[64],relu,0.0,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,36,31,0.0549777777286651,True,True,1,0.945787153238012
CNN-20e-tune,easy,Validation,0.9795134996810247,0.9068450293974863,0.9901254441586996,0.9466571568001801,0.9971935011064367,0.98733678722003,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",3,[64],relu,0.0,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,62,57,0.05193269628533942,True,True,2,0.9466571568001801
CNN-20e-tune,easy,Validation,0.9804722275284645,0.9223432484088252,0.975794577828383,0.9483163216636459,0.9975318274864167,0.9889358292892431,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",3,[64],relu,0.0,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,25,20,0.04869420625091561,True,True,3,0.9483163216636459
CNN-20e-tune,easy,Validation,0.9801009908055837,0.9234225835322196,0.9722413082314141,0.9472033355327959,0.9975573787057197,0.9890490718792911,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",3,[64],relu,0.0,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,21,16,0.04928695261254733,True,True,4,0.9472033355327959
CNN-20e-tune,easy,Validation,0.9800361144850802,0.9077307181089916,0.9921082078564558,0.9480457355106788,0.9974634986721636,0.98851185667386,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",3,[64],relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,63,58,0.049437216236979484,True,True,5,0.9480457355106788
CNN-20e-tune,easy,Validation,0.9798018388832622,0.9073737936487968,0.9911659043169281,0.9474207652324033,0.9967469277085814,0.98471067383052,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",3,[64],relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,56,51,0.053611828074641786,True,True,6,0.9474207652324033
CNN-20e-tune,easy,Validation,0.9792575986390389,0.9113320224309955,0.9826262784899585,0.9456372859261498,0.997476595581459,0.988579457200377,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",3,[64],relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,25,20,0.04971626216507092,True,True,7,0.9456372859261498
CNN-20e-tune,easy,Validation,0.9801154077656956,0.9116250407800776,0.9874163214825575,0.9480082553504283,0.9973720399236033,0.9881741038856184,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",3,[64],relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,27,22,0.05209095521325586,True,True,8,0.9480082553504283
CNN-20e-tune,easy,Validation,0.9800108848048845,0.9088354498784113,0.9904788079860225,0.9479023803708644,0.9970115899105274,0.9863030348024833,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",3,[64],relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,41,36,0.052108004087935846,True,True,9,0.9479023803708644
CNN-20e-tune,easy,Validation,0.9676843839092308,0.8558059101775087,0.9909499597557864,0.9184330707228762,0.9949817116251368,0.9773100765825469,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",3,[64],relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,32,27,0.07052063562368047,True,True,10,0.9184330707228762
CNN-20e-tune,easy,Validation,0.9802019095263668,0.9094972067039107,0.9907536465183847,0.9483881272961316,0.9973321684339898,0.987732718577268,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",3,[64],relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,36,31,0.04810909746382227,True,True,11,0.9483881272961316
CNN-20e-tune,easy,Validation,0.9775996482261733,0.8955635746126088,0.9938946583168103,0.9421704459807763,0.9973190269773838,0.9878150403638156,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",3,[64],relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,46,41,0.054821083169578066,True,True,12,0.9421704459807763
CNN-20e-tune,easy,Validation,0.9798522982436538,0.908954820091983,0.9893598225328334,0.9474545044367574,0.9973308820653974,0.9881273227293629,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",5,[64],relu,0.0,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,36,31,0.05206109170621995,True,True,13,0.9474545044367574
CNN-20e-tune,easy,Validation,0.976810319660048,0.8961845923763063,0.9881623117846836,0.9399286687953989,0.9968573424644546,0.9856932918096647,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",5,[64],relu,0.0,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,36,31,0.05822485263086464,True,True,14,0.9399286687953989
