epoch,train_loss,val_loss,best_val_loss,best_epoch,epochs_without_improvement,improved,learning_rate
1,0.1679265475472305,0.07744749301986475,0.07744749301986475,1,0,True,0.001
2,0.07016154753686996,0.15907511234025887,0.07744749301986475,1,1,False,0.001
3,0.06335598313463545,0.07004969391852367,0.07004969391852367,3,0,True,0.001
4,0.0591693948283213,0.07658410717072149,0.07004969391852367,3,1,False,0.001
5,0.05675048961203761,0.054744440960543844,0.054744440960543844,5,0,True,0.001
6,0.05489259911996102,0.06334741530511659,0.054744440960543844,5,1,False,0.001
7,0.053672051459232296,0.05897668479419253,0.054744440960543844,5,2,False,0.001
8,0.05274676439168393,0.06733116896241421,0.054744440960543844,5,3,False,0.0005
9,0.04999816482725395,0.04922226810654592,0.04922226810654592,9,0,True,0.0005
10,0.04935807871338378,0.049223613703090925,0.04922226810654592,9,1,False,0.0005
11,0.049221744655027135,0.04895160463548585,0.04895160463548585,11,0,True,0.0005
12,0.04869445966679941,0.06222059805863739,0.04895160463548585,11,1,False,0.0005
13,0.04845797213662778,0.06156216963891797,0.04895160463548585,11,2,False,0.0005
14,0.047968943085827796,0.05327300033312861,0.04895160463548585,11,3,False,0.00025
15,0.0467045388521778,0.04598315274065425,0.04598315274065425,15,0,True,0.00025
16,0.04649309680028506,0.05170781428258284,0.04598315274065425,15,1,False,0.00025
17,0.04639751192008861,0.0667576590857507,0.04598315274065425,15,2,False,0.00025
18,0.04615634567511528,0.04541980701653096,0.04541980701653096,18,0,True,0.00025
19,0.04594783898325702,0.04624747103666863,0.04541980701653096,18,1,False,0.00025
20,0.045624928883771274,0.05585899289162804,0.04541980701653096,18,2,False,0.00025
21,0.04559090131459062,0.0470705207582154,0.04541980701653096,18,3,False,0.000125
22,0.04503895869269377,0.0444718337100366,0.0444718337100366,22,0,True,0.000125
23,0.04487541231122424,0.04429973421623849,0.04429973421623849,23,0,True,0.000125
24,0.044731295486129224,0.04479596941344896,0.04429973421623849,23,1,False,0.000125
25,0.04472992419574421,0.04568212240517532,0.04429973421623849,23,2,False,0.000125
26,0.0445508700958413,0.04522931159528814,0.04429973421623849,23,3,False,6.25e-05
27,0.04419098350703048,0.04398291231757244,0.04398291231757244,27,0,True,6.25e-05
28,0.04424713934875533,0.04493003385257987,0.04398291231757244,27,1,False,6.25e-05
29,0.04418120743039504,0.044294650181162104,0.04398291231757244,27,2,False,6.25e-05
30,0.044155382345768206,0.04458403993844444,0.04398291231757244,27,3,False,3.125e-05
31,0.043947754076006755,0.04364194614147229,0.04364194614147229,31,0,True,3.125e-05
32,0.043809772754409566,0.043649668092988744,0.04364194614147229,31,1,False,3.125e-05
33,0.043895941181439684,0.04364861600560195,0.04364194614147229,31,2,False,3.125e-05
34,0.043885228691197244,0.04357914961849068,0.04364194614147229,31,3,False,3.125e-05
35,0.04375091557686582,0.0442852650031749,0.04364194614147229,31,4,False,3.125e-05
36,0.043720653674277285,0.04344257080581396,0.04344257080581396,36,0,True,3.125e-05
37,0.0437278494323819,0.043741330845005706,0.04344257080581396,36,1,False,3.125e-05
38,0.04370004805940518,0.04367563578014025,0.04344257080581396,36,2,False,3.125e-05
39,0.043618097380295054,0.043439641620303816,0.04344257080581396,36,3,False,1.5625e-05
40,0.04362715121477609,0.043896061251156436,0.04344257080581396,36,4,False,1.5625e-05
41,0.04360040782969064,0.043758278783374356,0.04344257080581396,36,5,False,1.5625e-05
