criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,ccp_alpha,decision_threshold,accuracy,precision,recall,f1,roc_auc,average_precision
entropy,20,2,1,,,0.0,0.5,0.9988250177508822,0.996332398454508,0.9972712460001177,0.9968016011616271,0.9995140053957061,0.9985558139152962
gini,20,2,1,,,0.0,0.5,0.9987997880706864,0.9963124239927817,0.9971534580576769,0.996732763611032,0.999476958586919,0.9983058724058463
entropy,15,2,1,,,0.0,0.5,0.9987961838306584,0.9960010193480093,0.9974479279137792,0.996723948524796,0.9998738323097761,0.9996327933738445
entropy,20,50,1,,,0.0,0.5,0.9987673499104346,0.9960782006784713,0.9972123520288974,0.996644953696437,0.9997399421612696,0.9992182596001653
entropy,15,50,1,,,0.0,0.5,0.9987601414303787,0.9959224480994295,0.9973301399713382,0.9966257969592938,0.9999318330380863,0.9997946437899061
entropy,20,2,20,,,0.0,0.5,0.9987349117501829,0.9959024428498608,0.9972123520288974,0.9965569669920055,0.9997720007112928,0.999219265411432
gini,20,50,1,,,0.0,0.5,0.9987168905500431,0.9959798403702469,0.9970356701152359,0.99650747557195,0.9997895907888632,0.9993864774912339
gini,15,2,1,,,0.0,0.5,0.9987024735899312,0.9957267470351857,0.9972123520288974,0.996468995821645,0.9998710737132384,0.9996132919240657
entropy,15,50,20,,,0.0,0.5,0.9986952651098753,0.995590569698395,0.9973105086475981,0.9964497969911539,0.999920844542598,0.9997735328135068
entropy,20,50,20,,,0.0,0.5,0.9986952651098753,0.9956294220253611,0.9972712460001177,0.9964496577156196,0.9997926541964731,0.9993346636617977
entropy,15,2,20,,,0.0,0.5,0.9986916608698473,0.9955710590264168,0.9973105086475981,0.996440024713878,0.999918796059657,0.9997536995240387
gini,20,2,20,,,0.0,0.5,0.9986556184695676,0.9956867819472219,0.9969964074677555,0.9963411643533278,0.9997839323704129,0.9993328804779581
gini,20,50,20,,,0.0,0.5,0.9986520142295396,0.9956866973826095,0.9969767761440154,0.9963313191556148,0.9998078635063001,0.999404598491754
gini,15,50,1,,,0.0,0.5,0.9986484099895117,0.9955700172494903,0.9970749327627162,0.9963219067235545,0.9999071538280534,0.9997234202068459
gini,15,2,20,,,0.0,0.5,0.9986303887893718,0.9953559461524896,0.9971927207051572,0.9962734868395245,0.9999042261424049,0.9997737255107407
gini,15,50,20,,,0.0,0.5,0.9986231803093158,0.9953751788198867,0.9971338267339367,0.9962537266593441,0.9999018030807166,0.9997519301103972
gini,20,2,1,,balanced,0.0,0.5,0.99861597182926,0.9939616594688605,0.998527650719488,0.9962394233782513,0.9995970378991449,0.9989506518393295
entropy,20,2,1,,balanced,0.0,0.5,0.9985727209489244,0.9936514757877053,0.9986061760144487,0.9961226647867466,0.9996038420241544,0.9988595858496127
gini,20,50,1,,balanced,0.0,0.5,0.9985402827886726,0.9934382689528571,0.998645438661929,0.9960350482157717,0.9997407142424289,0.9993810039666724
entropy,20,50,1,,balanced,0.0,0.5,0.9985366785486446,0.9930722244989559,0.9989988024892519,0.9960266974613924,0.9998421235514756,0.9994125002611579
gini,20,2,20,,balanced,0.0,0.5,0.9984573852680293,0.9929152760700275,0.9987239639568896,0.995811149389289,0.9997959900013537,0.9995160403101273
entropy,15,2,1,,balanced,0.0,0.5,0.9984537810280013,0.9930691136274893,0.9985472820432282,0.9958006636713359,0.9998839851965204,0.9996492396066242
entropy,20,2,20,,balanced,0.0,0.5,0.9984501767879733,0.9926457679027759,0.9989595398417715,0.9957926459364788,0.9998524754277625,0.9995109532194696
gini,20,50,20,,balanced,0.0,0.5,0.9984321555878335,0.9927988759220951,0.9987043326331495,0.9957428484747654,0.99978125021498,0.9994570119170687
entropy,20,50,20,,balanced,0.0,0.5,0.9984213428677496,0.9924908817850246,0.9989595398417715,0.9957147050190783,0.9998498441030642,0.9994887830515699
entropy,15,50,1,,balanced,0.0,0.5,0.9984033216676098,0.9927400468384074,0.9986061760144487,0.9956644711731374,0.9999275736131896,0.9997537066133335
entropy,15,2,20,,balanced,0.0,0.5,0.9983420495871344,0.9924876582957717,0.998527650719488,0.9954984929737347,0.999924287165689,0.9997283588604753
entropy,15,50,20,,balanced,0.0,0.5,0.9983168199069385,0.9923329041320379,0.9985472820432282,0.9954303942385785,0.9999216424074633,0.9997056295500558
entropy,15,2,1,,,0.0001,0.5,0.9983060071868546,0.9945129240235945,0.9962700484893696,0.9953907108112349,0.9998868077973166,0.9996592144522497
entropy,15,2,20,,,0.0001,0.5,0.9983060071868546,0.9945129240235945,0.9962700484893696,0.9953907108112349,0.9998868077973166,0.9996592144522497
entropy,15,50,1,,,0.0001,0.5,0.9983060071868546,0.9945129240235945,0.9962700484893696,0.9953907108112349,0.9998868077973166,0.9996592144522497
entropy,15,50,20,,,0.0001,0.5,0.9983060071868546,0.9945129240235945,0.9962700484893696,0.9953907108112349,0.9998868077973166,0.9996592144522497
entropy,20,2,1,,,0.0001,0.5,0.9983060071868546,0.9945129240235945,0.9962700484893696,0.9953907108112349,0.9998868077973166,0.9996592144522497
entropy,20,2,20,,,0.0001,0.5,0.9983060071868546,0.9945129240235945,0.9962700484893696,0.9953907108112349,0.9998868077973166,0.9996592144522497
entropy,20,50,1,,,0.0001,0.5,0.9983060071868546,0.9945129240235945,0.9962700484893696,0.9953907108112349,0.9998868077973166,0.9996592144522497
entropy,20,50,20,,,0.0001,0.5,0.9983060071868546,0.9945129240235945,0.9962700484893696,0.9953907108112349,0.9998868077973166,0.9996592144522497
gini,15,2,20,,balanced,0.0,0.5,0.9981690460657918,0.9915206331260599,0.9985669133669683,0.9950312989045383,0.9998375027213552,0.9995240332302668
gini,15,50,20,,balanced,0.0,0.5,0.9981618375857358,0.9914819796113288,0.9985669133669683,0.995011834666771,0.9998373242287755,0.9995231981639723
entropy,15,2,1,,balanced,0.0001,0.5,0.9980825443051206,0.9913441855931377,0.998272443510866,0.994796251736213,0.9999421177467357,0.9997071419468173
entropy,15,50,1,,balanced,0.0001,0.5,0.9980825443051206,0.9913441855931377,0.998272443510866,0.994796251736213,0.9999421177467357,0.9997071419468173
entropy,20,50,1,,balanced,0.0001,0.5,0.9980825443051206,0.9913441855931377,0.998272443510866,0.994796251736213,0.9999421177467357,0.9997071419468173
entropy,15,2,20,,balanced,0.0001,0.5,0.9980825443051206,0.9913441855931377,0.998272443510866,0.994796251736213,0.9999421078665929,0.9997070940107565
entropy,20,2,20,,balanced,0.0001,0.5,0.9980825443051206,0.9913441855931377,0.998272443510866,0.994796251736213,0.9999421078665929,0.9997070940107565
entropy,20,2,1,,balanced,0.0001,0.5,0.9980789400650926,0.9913248596381784,0.998272443510866,0.9947865212500612,0.9999416965406478,0.999705236616057
entropy,15,50,20,,balanced,0.0001,0.5,0.9980789400650926,0.9913248596381784,0.998272443510866,0.9947865212500612,0.9999416865738371,0.9997051882582013
entropy,20,50,20,,balanced,0.0001,0.5,0.9980789400650926,0.9913248596381784,0.998272443510866,0.9947865212500612,0.9999416865738371,0.9997051882582013
gini,15,2,1,,,0.0001,0.5,0.9978122263030229,0.9928711320015667,0.9952295883311412,0.9940489612643261,0.9993379825915712,0.9980549999025911
gini,15,2,20,,,0.0001,0.5,0.9978122263030229,0.9928711320015667,0.9952295883311412,0.9940489612643261,0.9993379825915712,0.9980549999025911
gini,15,50,1,,,0.0001,0.5,0.9978122263030229,0.9928711320015667,0.9952295883311412,0.9940489612643261,0.9993379825915712,0.9980549999025911
gini,15,50,20,,,0.0001,0.5,0.9978122263030229,0.9928711320015667,0.9952295883311412,0.9940489612643261,0.9993379825915712,0.9980549999025911
gini,20,50,1,,,0.0001,0.5,0.9978122263030229,0.9928711320015667,0.9952295883311412,0.9940489612643261,0.9993379825915712,0.9980549999025911
gini,20,50,20,,,0.0001,0.5,0.9978122263030229,0.9928711320015667,0.9952295883311412,0.9940489612643261,0.9993379825915712,0.9980549999025911
gini,20,2,1,,,0.0001,0.5,0.9978086220629949,0.9928516871976656,0.9952295883311412,0.9940392156862745,0.9993339799203855,0.9980110972166125
gini,20,2,20,,,0.0001,0.5,0.9978086220629949,0.9928516871976656,0.9952295883311412,0.9940392156862745,0.9993339799203855,0.9980110972166125
entropy,10,2,1,,,0.0,0.5,0.9977077033422118,0.9911922663802363,0.9963682051080704,0.9937734962406015,0.9999043531542406,0.9995054469965103
entropy,10,50,1,,,0.0,0.5,0.997682473662016,0.9910951413841588,0.9963289424605901,0.9937051504204725,0.9999137824505265,0.9995185577207242
gini,15,2,1,,balanced,0.0,0.5,0.9976572439818202,0.988783702350174,0.9985669133669683,0.9936512277548788,0.9997339227709354,0.9987145999868214
gini,15,50,1,,balanced,0.0,0.5,0.9976356185416524,0.9886493945695904,0.9985865446907085,0.9935931243285477,0.9997692581483199,0.9988222696100202
entropy,10,2,20,,,0.0,0.5,0.9976356185416524,0.9909202741491419,0.9962504171656295,0.9935781971963349,0.9999231875231288,0.9995322691374875
entropy,10,50,20,,,0.0,0.5,0.9976320143016244,0.9909009255281759,0.9962504171656295,0.993568470823177,0.9999230451710713,0.999531564658266
entropy,10,2,1,,,0.0001,0.5,0.9975202828607574,0.990454625309883,0.9960933665757082,0.9932659932659933,0.9998453361145748,0.9993606683175295
entropy,10,2,20,,,0.0001,0.5,0.9975202828607574,0.990454625309883,0.9960933665757082,0.9932659932659933,0.9998453361145748,0.9993606683175295
entropy,10,50,1,,,0.0001,0.5,0.9975202828607574,0.990454625309883,0.9960933665757082,0.9932659932659933,0.9998453361145748,0.9993606683175295
entropy,10,50,20,,,0.0001,0.5,0.9975202828607574,0.990454625309883,0.9960933665757082,0.9932659932659933,0.9998453361145748,0.9993606683175295
gini,10,2,1,,,0.0,0.5,0.9973905302197505,0.9919277415309861,0.9938750269930702,0.9929004295044029,0.9998785240342545,0.9993696092766929
gini,10,50,1,,,0.0,0.5,0.9973653005395547,0.9918495297805643,0.9938161330218497,0.9928318575392973,0.9998753444049644,0.9993432697561792
gini,10,2,20,,,0.0,0.5,0.9973436750993869,0.9917329467539082,0.9938161330218497,0.9927734470755504,0.9998976962346922,0.9995266967148357
gini,10,50,20,,,0.0,0.5,0.9973400708593589,0.9917327847977275,0.9937965016981095,0.992763570756197,0.9998976405938877,0.9995264580930077
gini,15,2,20,,balanced,0.0001,0.5,0.9967237458145762,0.9840363777089783,0.9983509688058265,0.9911419912491839,0.9994422257249096,0.9975169915682319
gini,15,50,20,,balanced,0.0001,0.5,0.9967237458145762,0.9840363777089783,0.9983509688058265,0.9911419912491839,0.9994422257249096,0.9975169915682319
gini,20,2,20,,balanced,0.0001,0.5,0.9967237458145762,0.9840363777089783,0.9983509688058265,0.9911419912491839,0.9994422257249096,0.9975169915682319
gini,20,50,20,,balanced,0.0001,0.5,0.9967237458145762,0.9840363777089783,0.9983509688058265,0.9911419912491839,0.9994422257249096,0.9975169915682319
gini,10,2,1,,,0.0001,0.5,0.9967345585346602,0.9903946052966891,0.9918333693240935,0.9911134651600754,0.9990802042924547,0.9970584298249119
gini,10,2,20,,,0.0001,0.5,0.9967345585346602,0.9903946052966891,0.9918333693240935,0.9911134651600754,0.9990802042924547,0.9970584298249119
gini,10,50,20,,,0.0001,0.5,0.9967345585346602,0.9903946052966891,0.9918333693240935,0.9911134651600754,0.9990802042924547,0.9970584298249119
gini,10,50,1,,,0.0001,0.5,0.9967309542946322,0.9903751911240052,0.9918333693240935,0.9911037438819849,0.999076201577935,0.9970145585616286
gini,15,2,1,,balanced,0.0001,0.5,0.9963561133317235,0.9820980263411997,0.9983509688058265,0.9901578060961245,0.9992780313584029,0.9960743606707
gini,15,50,1,,balanced,0.0001,0.5,0.9963561133317235,0.9820980263411997,0.9983509688058265,0.9901578060961245,0.9992780313584029,0.9960743606707
gini,20,2,1,,balanced,0.0001,0.5,0.9963561133317235,0.9820980263411997,0.9983509688058265,0.9901578060961245,0.9992780313584029,0.9960743606707
gini,20,50,1,,balanced,0.0001,0.5,0.9963561133317235,0.9820980263411997,0.9983509688058265,0.9901578060961245,0.9992780313584029,0.9960743606707
entropy,10,2,1,,balanced,0.0,0.5,0.9954983042050668,0.9763411173741324,0.9997055301438976,0.9878851954955042,0.9997815241722727,0.9987919615487978
entropy,10,50,1,,balanced,0.0,0.5,0.995480283004927,0.9762110146261046,0.999744792791378,0.9878377591992706,0.999810731521086,0.9988355923694746
entropy,10,2,20,,balanced,0.0,0.5,0.9954514490847033,0.9761160842646016,0.9996858988201575,0.9877604065639911,0.999809648822104,0.9988301873985744
entropy,10,50,20,,balanced,0.0,0.5,0.9954370321245913,0.9760229995208434,0.9997055301438976,0.9877223267451558,0.9998092315594065,0.9988282657129128
gini,10,2,1,,balanced,0.0,0.5,0.9954009897243117,0.9759089253885812,0.999627004848937,0.9876255867178712,0.999532923745808,0.9966508887009888
gini,10,50,1,,balanced,0.0,0.5,0.9953901770042278,0.97585281717133,0.999627004848937,0.9875968541199973,0.9995353774446059,0.9966770353889403
gini,10,2,20,,balanced,0.0,0.5,0.9953829685241719,0.9758154152772986,0.999627004848937,0.9875776999835145,0.9995371309532834,0.9966990693212172
gini,10,50,20,,balanced,0.0,0.5,0.9953829685241719,0.9758154152772986,0.999627004848937,0.9875776999835145,0.9995371309532834,0.9966990693212172
entropy,10,2,1,,balanced,0.0001,0.5,0.9953289049237523,0.9755349924325153,0.999627004848937,0.9874340676388458,0.9998216041415662,0.9988709987382578
entropy,10,50,1,,balanced,0.0001,0.5,0.9953289049237523,0.9755349924325153,0.999627004848937,0.9874340676388458,0.9998216041415662,0.9988709987382578
entropy,10,2,20,,balanced,0.0001,0.5,0.9953289049237523,0.9755349924325153,0.999627004848937,0.9874340676388458,0.9998215810878996,0.998870878699057
entropy,10,50,20,,balanced,0.0001,0.5,0.9953289049237523,0.9755349924325153,0.999627004848937,0.9874340676388458,0.9998215810878996,0.998870878699057
gini,10,2,1,,balanced,0.0001,0.5,0.994791873159585,0.9732825887392901,0.9990576964604724,0.9860017243550622,0.999217225882888,0.9955697809173422
gini,10,2,20,,balanced,0.0001,0.5,0.994791873159585,0.9732825887392901,0.9990576964604724,0.9860017243550622,0.999217225882888,0.9955697809173422
gini,10,50,1,,balanced,0.0001,0.5,0.994791873159585,0.9732825887392901,0.9990576964604724,0.9860017243550622,0.999217225882888,0.9955697809173422
gini,10,50,20,,balanced,0.0001,0.5,0.994791873159585,0.9732825887392901,0.9990576964604724,0.9860017243550622,0.999217225882888,0.9955697809173422
