criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,ccp_alpha,decision_threshold,accuracy,precision,recall,f1,roc_auc,average_precision
entropy,20,2,1,,,0.0,0.5,0.9988149044449981,0.996606500843789,0.9972833568898107,0.9969448139822927,0.9994532648881743,0.99830841707991
entropy,20,50,1,,,0.0,0.5,0.9987437275347877,0.9964959272033463,0.9970263771361442,0.9967610815968877,0.9996853249345293,0.9990133769818769
entropy,15,2,1,,,0.0,0.5,0.9987116979251931,0.9958948043617704,0.9974669138567155,0.9966802391695095,0.9998806556783998,0.9995428910821368
entropy,15,50,1,,,0.0,0.5,0.9986583152425353,0.9958209611789288,0.9972650011931203,0.9965424580646937,0.99988950070915,0.9996203188668522
entropy,20,2,20,,,0.0,0.5,0.9986120502508986,0.9962020439241877,0.9966409075056444,0.9964214273916794,0.9997725295058516,0.9992538089783727
gini,20,2,1,,,0.0,0.5,0.9986120502508986,0.9968218976761275,0.9960168138181684,0.9964191931248508,0.9989786844608121,0.9978174671703014
entropy,20,50,20,,,0.0,0.5,0.9986013737143671,0.9961654190518127,0.9966225518089539,0.9963939329987246,0.9997723015091865,0.9992528781313265
entropy,15,50,20,,,0.0,0.5,0.9985906971778356,0.9956195817525338,0.9971181556195965,0.9963683052090976,0.9999060753009157,0.999642053177731
entropy,15,2,20,,,0.0,0.5,0.9985906971778356,0.995674090367519,0.9970630885295252,0.9963681053616303,0.9999134351321342,0.9997031140380224
entropy,20,2,1,,balanced,0.0,0.5,0.9985764617957934,0.9939894404150758,0.9986967455349768,0.9963375329622033,0.9996384780014614,0.9988074807475046
gini,20,50,1,,,0.0,0.5,0.9985515498772198,0.9966566242927475,0.9958699682446447,0.9962631409814994,0.9995600383561427,0.9989025823867596
entropy,20,50,1,,balanced,0.0,0.5,0.9984554610484359,0.993246326549238,0.99882523541181,0.9960279689559233,0.999774594603779,0.9992692407243549
gini,20,2,1,,balanced,0.0,0.5,0.9984163137478202,0.9927771495275964,0.9991005708621671,0.9959288230181602,0.9997781203876458,0.9991456940600673
gini,20,2,20,,,0.0,0.5,0.998380725292715,0.9962704390960867,0.9953743644340021,0.995822200185476,0.99962527627737,0.9990345918797632
gini,20,50,20,,,0.0,0.5,0.9983771664472045,0.9963980520077185,0.9952275188604783,0.9958124414568296,0.9996250126650891,0.9990337718752421
gini,20,50,1,,balanced,0.0,0.5,0.9983309014555678,0.9923427529626253,0.9991005708621671,0.9957101958309323,0.9998620328038151,0.9996076695653922
gini,20,2,20,,balanced,0.0,0.5,0.9983166660735258,0.9924319789919032,0.9989353695919528,0.9956730549329919,0.9999038239402072,0.9996223824003279
gini,20,50,20,,balanced,0.0,0.5,0.9982846364639311,0.9922870740112685,0.9989170138952624,0.9955910063848081,0.9999061272859382,0.9996423470513511
