experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,smote,use_pos_weight,pos_weight_mode,pos_weight_value,hidden_layers,activation,dropout,learning_rate,batch_size,epochs,weight_decay,device,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,tuning_stage_1,tuning_stage_2,trial,selected_metric
MLP-04h-tune,hard,Validation,0.9849577837161702,0.9519052376195233,0.9720021130480718,0.9618487107153479,0.9987024302151537,0.9947000875598606,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[128, 64]",relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,46,41,0.035916274531655676,True,True,1,0.9618487107153479
MLP-04h-tune,hard,Validation,0.9814042244712304,0.9155565968270969,0.9965936207807349,0.954357932195407,0.9988690379829229,0.9953853884473773,0.5,True,standard,True,select_k_best,40,False,True,auto,4.126135574078074,"[128, 64]",relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,66,61,0.05805643658160702,True,True,2,0.954357932195407
MLP-04h-tune,hard,Validation,0.9847445701614738,0.9550719424460432,0.9673024026813851,0.9611482664687729,0.9987536286109759,0.9949158066145029,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[128, 64]",relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,75,70,0.035618268488848075,True,True,3,0.9611482664687729
MLP-04h-tune,hard,Validation,0.9807432624516716,0.9121655393022559,0.9973222580468878,0.9528450473811989,0.9987522818635797,0.99487254759257,0.5,True,standard,True,select_k_best,40,False,True,auto,4.126135574078074,"[128, 64]",relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,47,42,0.061413169583258695,True,True,4,0.9528450473811989
MLP-04h-tune,hard,Validation,0.9864111894473505,0.9523016702385803,0.9793977812995246,0.9656596860519415,0.9989998713581,0.995887908239655,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[128, 64]",relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,41,36,0.03101645983215053,True,True,5,0.9656596860519415
MLP-04h-tune,hard,Validation,0.9809031726176939,0.9125747704816969,0.9976865766799643,0.9532345928259394,0.9988290332763382,0.9951549355954817,0.5,True,standard,True,select_k_best,40,False,True,auto,4.126135574078074,"[128, 64]",relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,34,29,0.05751247999883387,True,True,6,0.9532345928259394
MLP-04h-tune,hard,Validation,0.9863969752103707,0.9506697965018797,0.9811829426015993,0.9656853956757144,0.9990551494821507,0.9961510442903955,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[128, 64]",relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,52,47,0.030183894151797588,True,True,7,0.9656853956757144
MLP-04h-tune,hard,Validation,0.9812514214236979,0.9138601144305993,0.9979598156547717,0.954060219772565,0.9989502298059671,0.9956251377869193,0.5,True,standard,True,select_k_best,40,False,True,auto,4.126135574078074,"[128, 64]",relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,53,48,0.05502531741281274,True,True,8,0.954060219772565
MLP-04h-tune,hard,Validation,0.984492267455083,0.9497338958010715,0.9719474652531104,0.9607122922630944,0.9986583513292953,0.994536212385797,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[128, 64]",relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,32,27,0.037181767689482254,True,True,9,0.9607122922630944
MLP-04h-tune,hard,Validation,0.9815250454855583,0.9170274896787836,0.9953549374282747,0.9545871439427688,0.9987085327384292,0.9946898608864827,0.5,True,standard,True,select_k_best,40,False,True,auto,4.126135574078074,"[128, 64]",relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,47,42,0.06086305347401526,True,True,10,0.9545871439427688
MLP-04h-tune,hard,Validation,0.9836287525585626,0.9534061812542826,0.9631491702643131,0.9582529110597616,0.9985512534471226,0.9941404369176234,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[128, 64]",relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,34,29,0.03841329675463484,True,True,11,0.9582529110597616
MLP-04h-tune,hard,Validation,0.9810488685467365,0.9137781339744874,0.9969215075505037,0.9535408445060066,0.9987914886465585,0.9950366479279593,0.5,True,standard,True,select_k_best,40,False,True,auto,4.126135574078074,"[128, 64]",relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,64,59,0.06031924715252499,True,True,12,0.9535408445060066
