experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,smote,use_pos_weight,pos_weight_mode,pos_weight_value,hidden_layers,activation,dropout,learning_rate,batch_size,epochs,weight_decay,device,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,tuning_stage_1,tuning_stage_2,trial,selected_metric
MLP-04m-tune,medium,Validation,0.9862664151749173,0.9484567135617846,0.9825620881440555,0.9652082187581705,0.9989535173890719,0.9956444472450069,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[128, 64]",relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,55,50,0.03277899254178531,True,True,1,0.9652082187581705
MLP-04m-tune,medium,Validation,0.9825011566247909,0.9188668402014807,0.9978523834872153,0.9567321653276546,0.9988685059130936,0.995248543288671,0.5,True,standard,True,select_k_best,40,False,True,auto,4.1578160687454275,"[128, 64]",relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,35,30,0.05573496377714915,True,True,2,0.9567321653276546
MLP-04m-tune,medium,Validation,0.9852663795864621,0.9500742091804804,0.9752565208612493,0.9625006793355193,0.9987825126373652,0.994947954151076,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[128, 64]",relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,48,43,0.03464448679209523,True,True,3,0.9625006793355193
MLP-04m-tune,medium,Validation,0.9826968931278693,0.9191262185129496,0.9986233227482149,0.9572270607900062,0.9989089872943402,0.9954133739443142,0.5,True,standard,True,select_k_best,40,False,True,auto,4.1578160687454275,"[128, 64]",relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,54,49,0.05524629447161738,True,True,4,0.9572270607900062
MLP-04m-tune,medium,Validation,0.9876045410868715,0.9524612272420768,0.9852420198608638,0.9685743415769672,0.999110816084984,0.9963686342898912,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[128, 64]",relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,42,37,0.02840337034226972,True,True,5,0.9685743415769672
MLP-04m-tune,medium,Validation,0.9823801558774333,0.918735204599256,0.9973384239798821,0.9564245416699672,0.9989143975859197,0.9954321436192006,0.5,True,standard,True,select_k_best,40,False,True,auto,4.1578160687454275,"[128, 64]",relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,29,24,0.05420816875969016,True,True,6,0.9564245416699672
MLP-04m-tune,medium,Validation,0.9879319548738389,0.9537283740097339,0.9855724224012923,0.9693889525804092,0.999201467915642,0.9967105156883236,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[128, 64]",relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,66,61,0.027227486352971824,True,True,7,0.9693889525804092
MLP-04m-tune,medium,Validation,0.9832485141819993,0.9222259925347811,0.9977422493070724,0.9584990169195637,0.9989975112641716,0.9957896857698382,0.5,True,standard,True,select_k_best,40,False,True,auto,4.1578160687454275,"[128, 64]",relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,43,38,0.05170524776392362,True,True,8,0.9584990169195637
MLP-04m-tune,medium,Validation,0.9856436172105769,0.9504098287469419,0.9769268892600819,0.9634859429026593,0.9988400601382871,0.995164475136647,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[128, 64]",relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,39,34,0.03411292509798321,True,True,9,0.9634859429026593
MLP-04m-tune,medium,Validation,0.9824086266415175,0.918124113714633,0.9982929202077865,0.9565316800773864,0.998836022324234,0.9951057203540478,0.5,True,standard,True,select_k_best,40,False,True,auto,4.1578160687454275,"[128, 64]",relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,35,30,0.05677531691265236,True,True,10,0.9565316800773864
