C,loss,penalty,dual,tol,class_weight,decision_threshold,accuracy,precision,recall,f1,roc_auc,average_precision
10.0,squared_hinge,l2,False,0.0001,balanced,0.0,0.9514653037833708,0.7933123561733904,0.994836961856338,0.882718737480186,0.992063046330383,0.9655133070297263
10.0,squared_hinge,l2,False,0.0001,,0.0,0.9524853037112859,0.8332156599710524,0.9266966371542433,0.877473441580772,0.992237454771185,0.967472888422835
1.0,squared_hinge,l2,False,0.0001,,0.0,0.9506831836973015,0.8356759289292536,0.9104026384499107,0.8714402487950166,0.9904233484911086,0.9586506363549401
1.0,squared_hinge,l2,False,0.0001,balanced,0.0,0.9454282017365229,0.7729421452316325,0.9950725377412198,0.8700532969437936,0.9895652143214513,0.9516948230881238
0.1,squared_hinge,l2,False,0.0001,,0.0,0.9492991555265614,0.835590505315276,0.9011562849682954,0.8671357733175915,0.9891355387844952,0.952937849001416
10.0,squared_hinge,l2,False,0.001,,0.0,0.9492450919261419,0.835167233508539,0.901470386148138,0.867053114555994,0.9891098172193967,0.9527993271854102
1.0,squared_hinge,l2,False,0.001,,0.0,0.9490432544845756,0.8333967494700223,0.9029623667523902,0.8667860171487798,0.9891907059485171,0.9532482458714244
0.1,squared_hinge,l2,False,0.001,,0.0,0.9489531484838765,0.8352171218142707,0.8994090971554212,0.8661253580104544,0.9886548960975547,0.9504208421452379
0.1,squared_hinge,l2,False,0.0001,balanced,0.0,0.9363347041459573,0.7449897660172873,0.9932075619859048,0.8513756836348338,0.9884799282153336,0.9470016311726523
0.1,squared_hinge,l2,False,0.001,balanced,0.0,0.935206577017203,0.7413384097232392,0.99385539566933,0.8492229239530651,0.9877715434700706,0.943787988627406
1.0,squared_hinge,l2,False,0.001,balanced,0.0,0.9350768243761961,0.7408632040965618,0.9940909715542119,0.8489969737360528,0.9877080200452718,0.9434617647425582
10.0,squared_hinge,l2,False,0.001,balanced,0.0,0.9349218420549935,0.7403692928465958,0.9941694968491726,0.8487011898776604,0.9876025709278361,0.9429874963923407
