experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,reconstruction_threshold,use_network_features,drop_original_port_columns,log_transform,log_transform_columns,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,remove_correlated_features,correlation_threshold,encoder_layers,latent_dim,activation,output_activation,batch_norm,dropout,loss_function,learning_rate,batch_size,epochs,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,denoising,noise_std,weight_decay,device,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,threshold_metric,threshold_candidates,tuning_stage_1,tuning_stage_2
AE-01e,easy,Validation,0.8842678527019185,0.8747959711771965,0.4313787078662714,0.5778221883299587,0.8457108702979879,0.6553532098696608,0.5,False,False,False,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,34,24,0.06676760598535068,f1,200,False,False
AE-01e,easy,Test,0.884000929895603,0.8737544838581108,0.4303676946936532,0.5766878427968275,0.8457035411622396,0.6548585973730193,0.5,False,False,False,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,34,24,0.06676760598535068,f1,200,False,False
AE-02e,easy,Validation,0.8852193720693023,0.8820892535521313,0.4326547439093818,0.5805542384489752,0.8340898425641609,0.6526029227076757,0.5,False,False,False,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,40,30,0.06874368835061404,f1,200,False,False
AE-02e,easy,Test,0.8849884934429745,0.8818477344784685,0.43135907654253125,0.5793345285804683,0.8338923504975602,0.6523249825194272,0.5,False,False,False,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,40,30,0.06874368835061404,f1,200,False,False
AE-03e,easy,Validation,0.8910149900342763,0.9586970972745402,0.42468442647087695,0.5886210274270788,0.7979136032763902,0.6311958333499305,0.5,False,False,False,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,45,35,0.022190935082826782,f1,200,False,False
AE-03e,easy,Test,0.8908039452082444,0.9585897407415636,0.4235359940320776,0.5874968514068255,0.7972198262824244,0.6304619146206122,0.5,False,False,False,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,45,35,0.022190935082826782,f1,200,False,False
AE-04e,easy,Validation,0.88804509625123,0.8961929439904325,0.44133178900253245,0.5914184994212354,0.8040213353041286,0.6369476494760405,0.5,False,False,False,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,56,46,0.04017505450495903,f1,200,False,False
AE-04e,easy,Test,0.8878448588126531,0.8951418376093934,0.4407526649521977,0.5906696220098526,0.803596845527812,0.6362416233321722,0.5,False,False,False,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,56,46,0.04017505450495903,f1,200,False,False
AE-05e,easy,Validation,0.8335237573481443,0.9265445402298851,0.1012779991754844,0.1825968464084096,0.8893214242071787,0.6609748260375201,0.5,False,False,True,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,53,43,0.04380758302590853,f1,200,False,False
AE-05e,easy,Test,0.8334928212419873,0.9245992656935614,0.10134670880857496,0.18267061789552833,0.8889612257497267,0.6604924398515434,0.5,False,False,True,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,53,43,0.04380758302590853,f1,200,False,False
AE-06e,easy,Validation,0.833671531189291,0.8655577598046696,0.11134886825418638,0.19731440896124677,0.8789373848920896,0.6341244249497837,0.5,False,False,True,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,53,43,0.061417564147650594,f1,200,False,False
AE-06e,easy,Test,0.8338027864429871,0.864367122046947,0.11240895973615501,0.19894551234723393,0.8788014698242658,0.6345720389662951,0.5,False,False,True,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,53,43,0.061417564147650594,f1,200,False,False
AE-07e,easy,Validation,0.8341184569527592,0.9582323326496364,0.10088537270068121,0.18255124151895136,0.8576458779199044,0.6486613356190538,0.5,False,False,True,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,58,48,0.018513707003704933,f1,200,False,False
AE-07e,easy,Test,0.83404967732983,0.9552724567602753,0.10083629439133081,0.18241707507635485,0.8576023194753657,0.647466031755773,0.5,False,False,True,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,58,48,0.018513707003704933,f1,200,False,False
