experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,reconstruction_threshold,use_network_features,drop_original_port_columns,log_transform,log_transform_columns,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,remove_correlated_features,correlation_threshold,encoder_layers,latent_dim,activation,output_activation,batch_norm,dropout,loss_function,learning_rate,batch_size,epochs,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,denoising,noise_std,weight_decay,device,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,threshold_metric,threshold_candidates,tuning_stage_1,tuning_stage_2
AE-01h,hard,Validation,0.875593444393905,0.8954505686789151,0.4101681330491648,0.5626225903576827,0.8475430033510636,0.6649455236121417,0.5,False,False,False,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,43,33,0.04961743745865761,f1,200,False,False
AE-01h,hard,Test,0.8755403621425792,0.890862245299347,0.4125453121299889,0.563938794058691,0.8495409842464972,0.6684834929100507,0.5,False,False,False,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,43,33,0.04961743745865761,f1,200,False,False
AE-02h,hard,Validation,0.8773489026609051,0.8944801424479368,0.420933748656575,0.5724690639283546,0.8386503074133344,0.664275301510575,0.5,False,False,False,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,56,46,0.04943418566512744,f1,200,False,False
AE-02h,hard,Test,0.8773935399961267,0.8912613908872902,0.4231287684208609,0.5738301249390128,0.8401711508564091,0.6670001761706305,0.5,False,False,False,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,56,46,0.04943418566512744,f1,200,False,False
AE-03h,hard,Validation,0.8818334944280191,0.9612564998721337,0.4108239065887025,0.5756326650416672,0.7960922288442197,0.6387662078552323,0.5,False,False,False,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,66,56,0.02384357508606699,f1,200,False,False
AE-03h,hard,Test,0.8819865071595208,0.9603872118201503,0.4120443740095087,0.5766730401529637,0.7973553207953819,0.640665943771128,0.5,False,False,False,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,66,56,0.02384357508606699,f1,200,False,False
AE-04h,hard,Validation,0.882014725949511,0.9220981361142457,0.43166293240067766,0.5880440716660876,0.8277173575271839,0.6640045213368821,0.5,False,False,False,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,87,77,0.03864563324202109,f1,200,False,False
AE-04h,hard,Test,0.8821286492767632,0.9184223702961908,0.43435889028544367,0.5897848132574821,0.8295016233304761,0.6665105568913691,0.5,False,False,False,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,87,77,0.03864563324202109,f1,200,False,False
AE-05h,hard,Validation,0.823349016374801,0.9179561573178594,0.10373973076853016,0.18641266100391155,0.8771803931920915,0.649531287257724,0.5,False,False,True,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,47,37,0.03152915669403495,f1,200,False,False
AE-05h,hard,Test,0.8235021330201469,0.9189903846153846,0.10445926006885622,0.1875950733598312,0.8763343315344855,0.6488278350127012,0.5,False,False,True,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,47,37,0.03152915669403495,f1,200,False,False
AE-06h,hard,Validation,0.8236333011143961,0.8957018334836189,0.10856695265679363,0.19366054166463584,0.882511650321769,0.6649907809954486,0.5,False,False,True,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,86,76,0.03676710527411013,f1,200,False,False
AE-06h,hard,Test,0.8237970779134248,0.8989185941724241,0.10902235094813924,0.19446023881081959,0.8818140555993328,0.6650304700392277,0.5,False,False,True,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,86,76,0.03676710527411013,f1,200,False,False
