experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,reconstruction_threshold,use_network_features,drop_original_port_columns,log_transform,log_transform_columns,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,remove_correlated_features,correlation_threshold,encoder_layers,latent_dim,activation,output_activation,batch_norm,dropout,loss_function,learning_rate,batch_size,epochs,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,denoising,noise_std,weight_decay,device,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,threshold_metric,threshold_candidates,tuning_stage_1,tuning_stage_2
AE-01m,medium,Validation,0.8758959393572725,0.8851608847680038,0.4135538464362415,0.5637291697943252,0.8497014571754877,0.6696040318861989,0.5,False,False,False,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,40,30,0.3426166336383264,f1,200,False,False
AE-01m,medium,Test,0.8765810171180469,0.8863370277864502,0.41688923153170515,0.5670609531537717,0.8495286916000914,0.6711861061355624,0.5,False,False,False,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,40,30,0.3426166336383264,f1,200,False,False
AE-02m,medium,Validation,0.8735221894017581,0.8437636126034558,0.42665981387323554,0.5667402196837626,0.8291401780789968,0.6495880808990855,0.5,False,False,False,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,22,12,0.5047449839742388,f1,200,False,False
AE-02m,medium,Test,0.8740364425780277,0.8439178230311768,0.4297934047376488,0.5695330410405784,0.8298196027297955,0.6517491478317531,0.5,False,False,False,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,22,12,0.5047449839742388,f1,200,False,False
AE-03m,medium,Validation,0.8832093668813836,0.9566573910110464,0.41649075790671636,0.5803291686381831,0.7921991242689985,0.6421338110705326,0.5,False,False,False,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,45,35,0.025122408175096124,f1,200,False,False
AE-03m,medium,Test,0.8836969287163244,0.9579035815565592,0.41852290353075067,0.5825296048849657,0.7918657140278605,0.6431433835103347,0.5,False,False,False,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,45,35,0.025122408175096124,f1,200,False,False
AE-04m,medium,Validation,0.8830848072885156,0.9148666794552082,0.43770994328089724,0.5921235597934048,0.842626430744623,0.6726085931335974,0.5,False,False,False,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,54,44,0.042329270642213986,f1,200,False,False
AE-04m,medium,Test,0.8835919427737642,0.9144897182025895,0.44080692383233755,0.594871096193266,0.8428024467699171,0.6741407650278195,0.5,False,False,False,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,54,44,0.042329270642213986,f1,200,False,False
AE-05m,medium,Validation,0.8514359941634934,0.9368139407244785,0.250647038308339,0.3954818622836869,0.8704021626144065,0.6517508898277077,0.5,False,False,True,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,24,14,0.3339570795160919,f1,200,False,False
AE-05m,medium,Test,0.851350581871241,0.9347952516164346,0.2507870077186413,0.3954757287173995,0.869269421478194,0.6503587910902243,0.5,False,False,True,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,24,14,0.3339570795160919,f1,200,False,False
