experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,use_network_features,drop_original_port_columns,feature_selection,feature_selection_method,selected_k_features,smote,use_pos_weight,pos_weight_mode,pos_weight_value,conv_channels,kernel_size,fc_layers,activation,batch_norm,dropout,learning_rate,batch_size,epochs,gradient_clip_norm,global_pooling,input_dropout,input_noise_std,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,weight_decay,device,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,tuning_stage_1,tuning_stage_2
CNN-01e,easy,Validation,0.9644045254837791,0.8915908527397913,0.9177054908812501,0.9044597078456031,0.9928786290216919,0.9698951675475294,0.5,True,standard,False,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,34,29,0.08645104286886275,False,False
CNN-02e,easy,Validation,0.9703371045698159,0.8944238192866774,0.9506468521172383,0.9216787209744957,0.9952122692208204,0.9802107805522028,0.5,True,standard,False,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,32,27,0.07671537480531895,False,False
CNN-03e,easy,Validation,0.9515986606644056,0.8328777821163608,0.9212194978307388,0.87482406017841,0.9896296384426014,0.9549959067802913,0.5,True,standard,False,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,20,15,0.10196034767765606,False,False
CNN-04e,easy,Validation,0.9724672104263455,0.9204046759097441,0.9305051139598343,0.9254273358259223,0.9959337398685532,0.9819630645554434,0.5,True,standard,False,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,59,54,0.06548110605663036,False,False
CNN-05e,easy,Validation,0.9706614861723332,0.8688615013358614,0.9895561357702349,0.9252895717458745,0.9956236727770171,0.9806714699560849,0.5,True,standard,True,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,32,27,0.07003581045762791,False,False
CNN-06e,easy,Validation,0.9702974579295083,0.865015045821365,0.9932075619859048,0.9246895190400907,0.9958986407912507,0.9815889056990489,0.5,True,standard,True,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,22,17,0.07510041791307344,False,False
CNN-07e,easy,Validation,0.9657597197342954,0.8458841794234012,0.9947388052376371,0.9142924162321142,0.9934947206663355,0.9702632169962102,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,36,31,0.08095675845965469,False,False
CNN-08e,easy,Validation,0.9796216268818638,0.9096040087555853,0.987102220302715,0.9467698506844414,0.9962249785712876,0.982352540859204,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,56,51,0.05911023203511012,False,False
CNN-09e,easy,Validation,0.9761363267748179,0.8940919115031657,0.9869255383890536,0.9382179215616747,0.9959963023194625,0.9819562088458739,0.5,True,standard,True,True,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,43,38,0.06467100829579395,False,False
CNN-10e,easy,Validation,0.9680339951919438,0.8542677175963352,0.9957596340721255,0.9196029551738204,0.996533911136426,0.9847859227220724,0.5,True,standard,True,True,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,20,15,0.07806435685501786,False,False
