experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,use_network_features,drop_original_port_columns,feature_selection,feature_selection_method,selected_k_features,smote,use_pos_weight,pos_weight_mode,pos_weight_value,conv_channels,kernel_size,fc_layers,activation,batch_norm,dropout,learning_rate,batch_size,epochs,gradient_clip_norm,global_pooling,input_dropout,input_noise_std,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,weight_decay,device,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,tuning_stage_1,tuning_stage_2
CNN-01h,hard,Validation,0.9635120536729589,0.9188078301833674,0.8917609341129752,0.9050823642515115,0.991348556288605,0.9700122322804623,0.5,True,standard,False,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,74,69,0.09400111239099329,False,False
CNN-02h,hard,Validation,0.9635049465544689,0.9192769499614799,0.8911780243000528,0.9050094343112953,0.9925810834376839,0.9729569550534805,0.5,True,standard,False,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,89,84,0.08871277509994716,False,False
CNN-03h,hard,Validation,0.9576557880372981,0.8629722836826726,0.9307248119205057,0.8955689546378742,0.9898670153730824,0.9624710280828107,0.5,True,standard,False,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,50,45,0.10174468869997041,False,False
CNN-04h,hard,Validation,0.9644608539913577,0.9150580578359588,0.9015064575477713,0.9082317101146071,0.9927357789265787,0.9730381868105873,0.5,True,standard,False,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,50,45,0.0878916451534223,False,False
CNN-05h,hard,Validation,0.9677407891744371,0.8976722387127012,0.9420186895458769,0.9193109700815957,0.9925461861820368,0.9699054521592302,0.5,True,standard,True,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,39,34,0.08934618461659369,False,False
CNN-06h,hard,Validation,0.9615433818512622,0.8546941140493474,0.967320618613039,0.9075264039375193,0.9938661066337948,0.9756894432713461,0.5,True,standard,True,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,30,25,0.08980595900818844,False,False
CNN-07h,hard,Validation,0.9496567261769389,0.808364374186124,0.9724757272710712,0.8828583004655239,0.9916909373302181,0.9657161592828893,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,53,48,0.09747002564399439,False,False
CNN-08h,hard,Validation,0.9735828405731181,0.9167735023972182,0.9509080641929432,0.9335288542355907,0.9948794664767718,0.9790818790216057,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,49,44,0.07245606705902218,False,False
CNN-09h,hard,Validation,0.9687855355924494,0.9018562091503268,0.9425651674954916,0.9217614365113296,0.993997715254241,0.9760523534977155,0.5,True,standard,True,True,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,67,62,0.07966926641218332,False,False
CNN-10h,hard,Validation,0.9639988912895155,0.8548688841678029,0.9822030347742136,0.9141229624229683,0.9945491829204495,0.977634280467366,0.5,True,standard,True,True,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,30,25,0.08456276310067679,False,False
CNN-11h,hard,Validation,0.9569521833068001,0.8337259551631071,0.9734776035120316,0.8981982587650005,0.9899653110448755,0.9591636548452768,0.5,True,standard,True,True,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,31,26,0.10211817549288693,False,False
CNN-12h,hard,Validation,0.9656761712531271,0.8687118964561666,0.9707634296956118,0.9169068244969589,0.9936462241156805,0.9734310255454296,0.5,True,standard,True,True,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,23,18,0.08691459997204018,False,False
CNN-13h,hard,Validation,0.9638887309529225,0.9176547474558865,0.8952219611272019,0.9062995610961532,0.9923928219195488,0.9737256643690291,0.5,True,standard,False,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,87,82,0.0890657378698252,False,False
CNN-14h,hard,Validation,0.9578725551512395,0.8899296999565154,0.8947119150408948,0.8923144001671375,0.988877284426885,0.9619244843503779,0.5,True,standard,False,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,26,21,0.10856853757279825,False,False
CNN-15h,hard,Validation,0.9582989822606323,0.8661023274750628,0.9300143905860065,0.8969212525802627,0.9900323702029583,0.9630632394873408,0.5,True,standard,False,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,50,45,0.10072566797096458,False,False
CNN-16h,hard,Validation,0.9657081532863316,0.92357379566007,0.8985736925515055,0.910902241754995,0.9932960801266142,0.9753300383267193,0.5,True,standard,False,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,50,45,0.08523315743665845,False,False
CNN-17h,hard,Validation,0.9673179156242893,0.9012573315070418,0.9348962602692314,0.9177686578507372,0.9927114714891393,0.9703308489331215,0.5,True,standard,True,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,41,36,0.08852763056809289,False,False
CNN-18h,hard,Validation,0.9610672049124404,0.8556535815459329,0.962857715357852,0.9060957213384531,0.993674303997928,0.9750844788244389,0.5,True,standard,True,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,30,25,0.08967052984365095,False,False
CNN-19h,hard,Validation,0.9495394587218559,0.8105835126760993,0.9673934823396543,0.8820735130466557,0.9887885862352295,0.9530605266378672,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,34,29,0.10661049642317778,False,False
CNN-20h,hard,Validation,0.9738280361610189,0.9189465519672825,0.9495965171138678,0.934020156774916,0.9948809350197034,0.9789897855618969,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,49,44,0.0725199346152495,False,False
CNN-21h,hard,Validation,0.9685403400045486,0.9087567913071268,0.9323460298376961,0.9204002913171311,0.993583213322169,0.974034660935054,0.5,True,standard,True,True,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,53,48,0.08137723980422776,False,False
CNN-22h,hard,Validation,0.9643329258585399,0.8616458675953694,0.9734776035120316,0.9141542435361233,0.9951343720268406,0.9803403109009288,0.5,True,standard,True,True,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,40,35,0.07879109035568235,False,False
CNN-23h,hard,Validation,0.9581426256538549,0.8413610741655583,0.967939960289269,0.900222781293148,0.9922663088077246,0.9684339078185673,0.5,True,standard,True,True,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,59,54,0.09032450947797865,False,False
CNN-24h,hard,Validation,0.9706511541960428,0.9022181592383055,0.9528207370165948,0.926829268292683,0.9953393103654697,0.9806023883407707,0.5,True,standard,True,True,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,55,50,0.07283039939709894,False,False
CNN-20h-tune,hard,Validation,0.9820367580168297,0.9424265019173413,0.9669927318432702,0.9545515846257586,0.9981690321972853,0.9927219712880245,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,"[16, 32]",7,[64],relu,,0.0,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,31,26,0.04332181371956867,True,True
