experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,use_network_features,drop_original_port_columns,feature_selection,feature_selection_method,selected_k_features,smote,use_pos_weight,pos_weight_mode,pos_weight_value,conv_channels,kernel_size,fc_layers,activation,batch_norm,dropout,learning_rate,batch_size,epochs,gradient_clip_norm,global_pooling,input_dropout,input_noise_std,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,weight_decay,device,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,tuning_stage_1,tuning_stage_2
CNN-01m,medium,Validation,0.966251468023773,0.9166296296296297,0.9085702747847795,0.9125821587588381,0.9944089899248308,0.979288224300126,0.5,True,standard,False,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,63,58,0.07958906286869818,False,False
CNN-02m,medium,Validation,0.9667497063952454,0.925650697849868,0.900860882174783,0.9130875636052428,0.9946234055333301,0.9789133367783646,0.5,True,standard,False,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,95,90,0.0776718132907676,False,False
CNN-03m,medium,Validation,0.9584860671198263,0.8557634780296484,0.9451898896822629,0.8982564478286278,0.9908171377945659,0.963930662715402,0.5,True,standard,False,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,38,33,0.10064809349132495,False,False
CNN-04m,medium,Validation,0.967119826328339,0.9026630589575619,0.9307806677802456,0.9165062581898694,0.9940472998967614,0.9766904304466754,0.5,True,standard,False,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,48,43,0.08190276036170578,False,False
CNN-05m,medium,Validation,0.9642976618384996,0.8670211887499794,0.9636557205528736,0.912787968356081,0.9941191502885369,0.9758323976048828,0.5,True,standard,True,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,48,43,0.08155283398350607,False,False
CNN-06m,medium,Validation,0.9616712338517385,0.8446049291221873,0.9832045375282219,0.9086498498702268,0.9938766480597437,0.974823452015149,0.5,True,standard,True,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,40,35,0.09017489284569694,False,False
CNN-07m,medium,Validation,0.9630627424463504,0.8538871412980676,0.9765964867196535,0.9111288071446308,0.9932557804825365,0.9712463700402048,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,60,55,0.08435035654786108,False,False
CNN-08m,medium,Validation,0.9749777572155592,0.9200871197365159,0.9537803557334018,0.9366308256649212,0.9959923080866752,0.9827367109385868,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,61,56,0.06318157164879705,False,False
CNN-09m,medium,Validation,0.9683832164845724,0.8999350911355543,0.9416288845243121,0.9203100052026336,0.9934636855646153,0.9726156390373458,0.5,True,standard,True,True,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,44,39,0.0832190048458517,False,False
CNN-10m,medium,Validation,0.9669240898252607,0.8629958707562783,0.9859211806384112,0.9203721790983396,0.9958974276816475,0.9831399116642177,0.5,True,standard,True,True,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,38,33,0.07397577890418909,False,False
