experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,feature_selection,selected_k_features,smote,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,ccp_alpha,tuning_stage_1,tuning_stage_2
DT-01e,easy,Validation,0.9990556891126722,0.9957737384805024,0.9990969591079526,0.9974325807463155,0.9997169414921642,0.9983928119143377,0.5,False,40,False,gini,10,2,1,,balanced,0.0,False,False
DT-02e,easy,Validation,0.9741431820393511,0.877095934791225,0.9991754844029133,0.9341641582850011,0.9871945443437816,0.8984418017496324,0.5,False,40,False,gini,10,2,1,,balanced,0.0,False,False
DT-03e,easy,Validation,0.9954009897243117,0.9759089253885812,0.999627004848937,0.9876255867178712,0.999532923745808,0.9966508887009888,0.5,True,40,False,gini,10,2,1,,balanced,0.0,False,False
DT-04e,easy,Validation,0.9931159015465794,0.9645273151043147,0.9992540096978739,0.9815836161678494,0.9981873386474746,0.984988067104142,0.5,True,40,False,gini,10,2,1,,balanced,0.0,False,False
DT-05e,easy,Validation,0.9990448763925882,0.9958317025440313,0.9989791711655117,0.9974029537725771,0.9996752198158092,0.9982801958656979,0.5,False,40,True,gini,10,2,1,,balanced,0.0,False,False
DT-06e,easy,Validation,0.986206573412963,0.9308288828736557,0.9991165904316928,0.9637646167684515,0.9962929697706612,0.9685011491694049,0.5,False,40,True,gini,10,2,1,,balanced,0.0,False,False
DT-07e,easy,Validation,0.9952856540434166,0.9754746987028415,0.9994503229352755,0.987316978570736,0.9995311454501055,0.9966161853534541,0.5,True,40,True,gini,10,2,1,,balanced,0.0,False,False
DT-08e,easy,Validation,0.9875653719035072,0.9370501941872664,0.9994110602877952,0.9672265075806513,0.9978991188483736,0.9823556763980233,0.5,True,40,True,gini,10,2,1,,balanced,0.0,False,False
DT-01e,easy,Validation,0.9998882685591329,0.9997251452803518,0.9996662674964173,0.9996957055214724,0.9998153216274289,0.9995692501482332,0.45,False,40,False,entropy,20,2,1,,balanced,0.0,True,True
DT-01e,easy,Test,0.999807172811006,0.9992739332214798,0.9996760831582874,0.9994749677375036,0.9997912221549281,0.9993197049708558,0.45,False,40,False,entropy,20,2,1,,balanced,0.0,True,True
DT-05e,easy,Validation,0.9998414134387694,0.9992936606039202,0.9998429494100787,0.9995682295448747,0.9999551807255406,0.9998914790355813,0.5,False,40,True,entropy,15,50,1,,,0.0,True,True
DT-05e,easy,Test,0.9997945579481745,0.9990584173565067,0.9998233180863385,0.9994407213713119,0.9999359193215315,0.9997925746861874,0.5,False,40,True,entropy,15,50,1,,,0.0,True,True
DT-03e-tune,easy,Validation,0.99884664319105,0.9968980072641602,0.9968197255540941,0.9968588648722932,0.9995140053957061,0.9985558139152962,0.55,True,40,False,entropy,20,2,1,,,0.0,True,True
DT-03e-tune,easy,Test,0.998743920086646,0.9970036643711133,0.9961522605469286,0.9965777806146248,0.9994183836998092,0.9982813823060172,0.55,True,40,False,entropy,20,2,1,,,0.0,True,True
DT-07e-tune,easy,Validation,0.998843038951022,0.9957882776994201,0.9979190796835431,0.9968525400296117,0.9997643794811396,0.9992971883813303,0.75,True,40,True,entropy,20,2,1,,,0.0,True,True
DT-07e-tune,easy,Test,0.9988087965240646,0.9962347404030004,0.9972810616619878,0.9967576264452107,0.999686125923108,0.998883500150541,0.75,True,40,True,entropy,20,2,1,,,0.0,True,True
