experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,feature_selection,selected_k_features,smote,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,ccp_alpha,tuning_stage_1,tuning_stage_2
DT-01h,hard,Validation,0.9825129349556516,0.9188541352375206,0.9985427254676941,0.9570424686831653,0.9911568396615362,0.9335943242800556,0.5,False,40,False,gini,10,2,1,,balanced,0.0,False,False
DT-02h,hard,Validation,0.977829343870821,0.8985094185094185,0.9992167149388855,0.9461909320637878,0.9911221809707326,0.9333880264473188,0.5,False,40,False,gini,10,2,1,,balanced,0.0,False,False
DT-03h,hard,Validation,0.9898403741187173,0.9520483686021057,0.9981966227662714,0.9745764972655729,0.9990138784880134,0.9933589700580203,0.5,True,40,False,gini,10,2,1,,balanced,0.0,False,False
DT-04h,hard,Validation,0.9870152945189902,0.9440698823162382,0.992221797183817,0.9675471161873634,0.9975435584033545,0.9833846346200104,0.5,True,40,False,gini,10,2,1,,balanced,0.0,False,False
DT-05h,hard,Validation,0.9826728451216739,0.9198153587914394,0.9981966227662714,0.9574044307778321,0.9913468172542355,0.9349941885049109,0.5,False,40,True,gini,10,2,1,,balanced,0.0,False,False
DT-06h,hard,Validation,0.9779004150557198,0.8990130823961441,0.9989252600324243,0.9463393589024548,0.9934590451664446,0.9508914477255199,0.5,False,40,True,gini,10,2,1,,balanced,0.0,False,False
DT-07h,hard,Validation,0.9896342676825108,0.9511056340472802,0.9981784068346176,0.9740736461323781,0.9990251070391617,0.9933232474496467,0.5,True,40,True,gini,10,2,1,,balanced,0.0,False,False
DT-07h,hard,Validation,0.9896342676825108,0.9511056340472802,0.9981784068346176,0.9740736461323781,0.9990251070391617,0.9933232474496467,0.5,True,40,True,gini,10,2,1,,balanced,0.0,False,False
DT-08h,hard,Validation,0.982427649533773,0.9199482126643576,0.9966482685756963,0.9567635152267621,0.9908296878870099,0.9320748378035274,0.5,True,40,True,gini,10,2,1,,balanced,0.0,False,False
DT-08h,hard,Validation,0.982427649533773,0.9199482126643576,0.9966482685756963,0.9567635152267621,0.9908296878870099,0.9320748378035274,0.5,True,40,True,gini,10,2,1,,balanced,0.0,False,False
DT-03h-tune,hard,Validation,0.9983049522401638,0.9962611708918475,0.9950452665901598,0.9956528475215762,0.999467859503944,0.9983247703070791,0.5,True,40,False,entropy,20,2,1,,,0.0,True,True
DT-03h-tune,hard,Test,0.9982125628756772,0.9964949432253825,0.9943348452556606,0.9954137223615227,0.9995415092488331,0.9985440831143847,0.5,True,40,False,entropy,20,2,1,,,0.0,True,True
DT-07h-tune,hard,Validation,0.998173470548101,0.9948317592036542,0.9958103357196204,0.9953208069332168,0.9996545489388694,0.9986569987084641,0.65,True,40,True,entropy,20,2,1,,,0.0,True,True
DT-07h-tune,hard,Test,0.9981379382641249,0.9951372320469157,0.9953185055649671,0.9952278605515282,0.9997058600688399,0.998877613648009,0.65,True,40,True,entropy,20,2,1,,,0.0,True,True
