experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,feature_selection,selected_k_features,smote,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,ccp_alpha,tuning_stage_1,tuning_stage_2
DT-01m,medium,Validation,0.9828641588668636,0.91984242383255,0.9986416784449054,0.9576237623762376,0.9912170816274355,0.9334674289965328,0.5,False,40,False,gini,10,2,1,,balanced,0.0,False,False
DT-02m,medium,Validation,0.9780205701270508,0.898585645206542,0.9994309734025955,0.946329254727475,0.9910325240197553,0.9323498031509648,0.5,False,40,False,gini,10,2,1,,balanced,0.0,False,False
DT-03m,medium,Validation,0.9916438307413076,0.9600416526941881,0.9984581214780007,0.978873112706725,0.9990694689890139,0.9933451061658883,0.5,True,40,False,gini,10,2,1,,balanced,0.0,False,False
DT-04m,medium,Validation,0.9664294102992989,0.8528259916034839,0.9993024835257622,0.9202721548408909,0.9919040197776329,0.9456038061125737,0.5,True,40,False,gini,10,2,1,,balanced,0.0,False,False
DT-05m,medium,Validation,0.9828641588668636,0.9199986469115756,0.9984397657813102,0.9576155559272203,0.9912639423772553,0.9339405998775734,0.5,False,40,True,gini,10,2,1,,balanced,0.0,False,False
DT-06m,medium,Validation,0.9779920993629666,0.8985196309804763,0.9993575506158336,0.9462597330367074,0.99322361151854,0.9484658148433576,0.5,False,40,True,gini,10,2,1,,balanced,0.0,False,False
DT-07m,medium,Validation,0.9915868892131393,0.9598517603458925,0.9983663429945484,0.9787302958324336,0.9990327980734487,0.9931215861130132,0.5,True,40,True,gini,10,2,1,,balanced,0.0,False,False
DT-08m,medium,Validation,0.9826541869817431,0.9200467424255254,0.9971915784063584,0.9570671035709881,0.9909956066311643,0.9325272051676509,0.5,True,40,True,gini,10,2,1,,balanced,0.0,False,False
DT-03m-tune,medium,Validation,0.9988149044449981,0.996606500843789,0.9972833568898107,0.9969448139822927,0.9994532648881743,0.99830841707991,0.5,True,40,False,entropy,20,2,1,,,0.0,True,True
DT-03m-tune,medium,Test,0.9987721982988719,0.996314327364744,0.9973567554172748,0.9968352688645495,0.9994061376021237,0.9980781826962999,0.5,True,40,False,entropy,20,2,1,,,0.0,True,True
DT-07m-tune,medium,Validation,0.9987757571443824,0.9957508379274346,0.9979441619706676,0.9968462934780615,0.9997338459636017,0.9988636400323472,0.75,True,40,True,entropy,20,2,1,,,0.0,True,True
DT-07m-tune,medium,Test,0.9987899925264244,0.9961872989395926,0.9975770257991685,0.9968816780240844,0.9996824996368721,0.9988098127492662,0.75,True,40,True,entropy,20,2,1,,,0.0,True,True
