experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,remove_correlated_features,correlation_threshold,smote,max_iter,solver,class_weight,C,tuning_stage_1,tuning_stage_2
LR-01e,easy,Validation,0.9592504622437836,0.8832904585984798,0.8965036612418775,0.8898480124707716,0.9911129406414206,0.960615606007095,0.5,True,standard,False,select_k_best,40,False,0.95,False,1000,lbfgs,,1.0,False,False
LR-02e,easy,Validation,0.9591675647231404,0.8830309828646579,0.8963269793282161,0.8896293048857713,0.9903547158624645,0.956369571000713,0.5,True,standard,False,select_k_best,40,True,0.95,False,1000,lbfgs,,1.0,False,False
LR-03e,easy,Validation,0.9488414170430094,0.8244820826195228,0.9164490861618799,0.8680364447750093,0.9881334551809399,0.9484154066566111,0.5,True,standard,True,select_k_best,40,False,0.95,False,1000,lbfgs,,1.0,False,False
LR-04e,easy,Validation,0.958389048877099,0.879591443438042,0.8960128781483735,0.8877262250921433,0.9903610846111813,0.9569008587645471,0.5,True,standard,True,select_k_best,40,True,0.95,False,1000,lbfgs,,1.0,False,False
LR-05e,easy,Validation,0.9466356221458925,0.7785332161632981,0.9913425862305896,0.8721438317127511,0.9909154528370426,0.9578843881608973,0.5,True,standard,False,select_k_best,40,False,0.95,True,1000,lbfgs,,1.0,False,False
LR-06e,easy,Validation,0.9439324421249158,0.7690927066697087,0.9926382535974401,0.866682664289877,0.9903604787157574,0.9546969943340382,0.5,True,standard,False,select_k_best,40,True,0.95,True,1000,lbfgs,,1.0,False,False
LR-07e,easy,Validation,0.9490468587246036,0.7878574557286778,0.988692357525668,0.8769229429842508,0.9882097377268182,0.9482629329786539,0.5,True,standard,True,select_k_best,40,False,0.95,True,1000,lbfgs,,1.0,False,False
LR-08e,easy,Validation,0.9416725836273793,0.7621432450371085,0.9918530006478337,0.8619563084849571,0.9908255472642645,0.9581717510804869,0.5,True,standard,True,select_k_best,40,True,0.95,True,1000,lbfgs,,1.0,False,False
LR-01e-tune,easy,Validation,0.9592504622437836,0.8832904585984798,0.8965036612418775,0.8898480124707716,0.9911129406414206,0.960615606007095,0.5,True,standard,False,select_k_best,40,False,0.95,False,1000,lbfgs,,1.0,True,True
LR-02e-tune,easy,Validation,0.9595784480863288,0.8826090306672831,0.8994679911266417,0.8909587655929452,0.9907206053274925,0.9579486023634942,0.5,True,standard,False,select_k_best,40,True,0.95,False,1000,lbfgs,,3.0,True,True
LR-05e-tune,easy,Validation,0.9554443847742484,0.82168409466153,0.9672156893539331,0.8885302073940486,0.991390706556094,0.9604000881137619,0.65,True,standard,False,select_k_best,40,False,0.95,True,1000,lbfgs,,10.0,True,True
LR-01e-tune,easy,Validation,0.9592504622437836,0.8832904585984798,0.8965036612418775,0.8898480124707716,0.9911129406414206,0.960615606007095,0.5,True,standard,False,select_k_best,40,False,0.95,False,1000,lbfgs,,1.0,True,True
LR-01e-tune,easy,Test,0.9583204932050943,0.8769024600363741,0.8992127839180196,0.8879174985946071,0.9913289855339912,0.9620044205091551,0.5,True,standard,False,select_k_best,40,False,0.95,False,1000,lbfgs,,1.0,True,True
LR-02e-tune,easy,Validation,0.9595784480863288,0.8826090306672831,0.8994679911266417,0.8909587655929452,0.9907206053274925,0.9579486023634942,0.5,True,standard,False,select_k_best,40,True,0.95,False,1000,lbfgs,,3.0,True,True
LR-02e-tune,easy,Test,0.95889176627903,0.8799727035937065,0.8986729225151652,0.8892245084279894,0.9904465224247861,0.9570788254819553,0.5,True,standard,False,select_k_best,40,True,0.95,False,1000,lbfgs,,3.0,True,True
LR-05e-tune,easy,Validation,0.9554443847742484,0.82168409466153,0.9672156893539331,0.8885302073940486,0.991390706556094,0.9604000881137619,0.65,True,standard,False,select_k_best,40,False,0.95,True,1000,lbfgs,,10.0,True,True
LR-05e-tune,easy,Test,0.9564210552873396,0.8281413656789539,0.9623471210663735,0.890214558760771,0.9909726918478544,0.95849094352013,0.65,True,standard,False,select_k_best,40,False,0.95,True,1000,lbfgs,,10.0,True,True
