experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,remove_correlated_features,correlation_threshold,smote,max_iter,solver,class_weight,C,tuning_stage_1,tuning_stage_2
LR-01h,hard,Validation,0.937091340686832,0.8555967723431106,0.8150900777820281,0.8348523718457017,0.9803447429131787,0.9270633276820474,0.5,True,standard,False,select_k_best,40,False,0.95,False,1000,lbfgs,,1.0,False,False
LR-02h,hard,Validation,0.9335129065271777,0.8481460814685113,0.8029400513689272,0.8249242055620017,0.9773038644956058,0.9160890761479362,0.5,True,standard,False,select_k_best,40,True,0.95,False,1000,lbfgs,,1.0,False,False
LR-03h,hard,Validation,0.929952240163748,0.8519274240332874,0.7757618813414212,0.8120626203687813,0.9774376281611866,0.9190651134430297,0.5,True,standard,True,select_k_best,40,False,0.95,False,1000,lbfgs,,1.0,False,False
LR-04h,hard,Validation,0.9335129065271777,0.8470908707245487,0.8043791099695794,0.8251826658942687,0.9772092286811335,0.9156644396122046,0.5,True,standard,True,select_k_best,40,True,0.95,False,1000,lbfgs,,1.0,False,False
LR-05h,hard,Validation,0.9202545769843075,0.7204172552428556,0.966173014918848,0.8253904031247812,0.9797614802993231,0.9203771796482813,0.5,True,standard,False,select_k_best,40,False,0.95,True,1000,lbfgs,,1.0,False,False
LR-06h,hard,Validation,0.9155461109847624,0.7098200444833861,0.959214529027087,0.8158844765342961,0.9770449973939604,0.9100095005093313,0.5,True,standard,False,select_k_best,40,True,0.95,True,1000,lbfgs,,1.0,False,False
LR-07h,hard,Validation,0.915272486922902,0.7087411271241127,0.9603257008579704,0.8155722805361963,0.9770281769842106,0.9146009667612405,0.5,True,standard,True,select_k_best,40,False,0.95,True,1000,lbfgs,,1.0,False,False
LR-08h,hard,Validation,0.915037952012736,0.7084880779374563,0.9591052334371641,0.8149644385626833,0.9764882696403495,0.9080752027624062,0.5,True,standard,True,select_k_best,40,True,0.95,True,1000,lbfgs,,1.0,False,False
LR-01h,hard,Validation,0.9408972026381623,0.8172938191346457,0.8977175437637758,0.8556199868050974,0.9817186358360241,0.9330992313733002,0.4,True,standard,False,select_k_best,40,False,0.95,False,1000,lbfgs,,10.0,True,True
LR-01h,hard,Test,0.9406165769690681,0.8144433465085639,0.9008324680765798,0.8554624319952948,0.981802776113171,0.9337869590036337,0.4,True,standard,False,select_k_best,40,False,0.95,False,1000,lbfgs,,10.0,True,True
LR-04h,hard,Validation,0.9387650670911986,0.83429484334783,0.8561487877297485,0.8450805523590333,0.9773669091055731,0.916106408404921,0.45,True,standard,True,select_k_best,40,True,0.95,False,1000,lbfgs,,10.0,True,True
LR-04h,hard,Test,0.9390387994676778,0.834461734784304,0.8576424941253621,0.8458933335728851,0.9775906571122303,0.9175640620554681,0.45,True,standard,True,select_k_best,40,True,0.95,False,1000,lbfgs,,10.0,True,True
