experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,remove_correlated_features,correlation_threshold,smote,max_iter,solver,class_weight,C,tuning_stage_1,tuning_stage_2
LR-01m,medium,Validation,0.9399765116196306,0.8592797783933518,0.8256208814405551,0.8421141316558077,0.9825025316225805,0.9334762151284034,0.5,True,standard,False,select_k_best,40,False,0.95,False,1000,lbfgs,,1.0,False,False
LR-02m,medium,Validation,0.9366311968397452,0.8508505060941776,0.816241120431726,0.8331865619905942,0.9792544863890238,0.9207073920968039,0.5,True,standard,False,select_k_best,40,True,0.95,False,1000,lbfgs,,1.0,False,False
LR-03m,medium,Validation,0.9328730559806399,0.8545320618741414,0.7878999247416436,0.8198643873555534,0.9794047833952713,0.9240580936780516,0.5,True,standard,True,select_k_best,40,False,0.95,False,1000,lbfgs,,1.0,False,False
LR-04m,medium,Validation,0.9365813730025979,0.8508105418285518,0.8159841406780595,0.8330335057342029,0.9792024292844279,0.92035209095546,0.5,True,standard,True,select_k_best,40,True,0.95,False,1000,lbfgs,,1.0,False,False
LR-05m,medium,Validation,0.9228299939499627,0.7244603233268997,0.9714568916463224,0.8299720854373804,0.9817636926470013,0.926873163430344,0.5,True,standard,False,select_k_best,40,False,0.95,True,1000,lbfgs,,1.0,False,False
LR-06m,medium,Validation,0.9174063133919357,0.7114305418452759,0.965711558582206,0.8192945573464144,0.9787111715513231,0.9139758324726259,0.5,True,standard,False,select_k_best,40,True,0.95,True,1000,lbfgs,,1.0,False,False
LR-07m,medium,Validation,0.9188084985230791,0.7148148650665509,0.9670515244406102,0.8220186921720678,0.9790457567993668,0.9205662912099896,0.5,True,standard,True,select_k_best,40,False,0.95,True,1000,lbfgs,,1.0,False,False
LR-08m,medium,Validation,0.917498843375209,0.7116120569581739,0.9659318269424916,0.8194941912978478,0.9788485691812874,0.9143736144413448,0.5,True,standard,True,select_k_best,40,True,0.95,True,1000,lbfgs,,1.0,False,False
LR-01m-tune,medium,Validation,0.9404711911455924,0.8112180966827145,0.9031369885644009,0.8547133265584421,0.9831896803870778,0.9369008424990715,0.4,True,standard,False,select_k_best,40,False,0.95,False,1000,lbfgs,,10.0,True,True
LR-01m-tune,medium,Test,0.941206092743514,0.81316931505041,0.90458621290968,0.8564452149129096,0.9831244950430362,0.9372947276978492,0.4,True,standard,False,select_k_best,40,False,0.95,False,1000,lbfgs,,10.0,True,True
LR-02m-tune,medium,Validation,0.940606427274992,0.8348396243133085,0.8647368710879422,0.8495252864961365,0.9795230223767211,0.9213717469706312,0.45,True,standard,False,select_k_best,40,True,0.95,False,1000,lbfgs,,10.0,True,True
LR-02m-tune,medium,Test,0.9409516352895121,0.8333875977860103,0.8692144607505713,0.8509240873682603,0.9793668236896826,0.9221005485232576,0.45,True,standard,False,select_k_best,40,True,0.95,False,1000,lbfgs,,10.0,True,True
LR-05m-tune,medium,Validation,0.9336809139115271,0.7677163001912046,0.9433726757099066,0.8465282524727605,0.9825059221562487,0.9305685517831066,0.65,True,standard,False,select_k_best,40,False,0.95,True,1000,lbfgs,,10.0,True,True
LR-05m-tune,medium,Test,0.9344478451190433,0.7743506246481123,0.9340932661508669,0.8467538302182694,0.9826904159450806,0.931795369980005,0.65,True,standard,False,select_k_best,40,False,0.95,True,1000,lbfgs,,10.0,True,True
