experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,smote,use_pos_weight,pos_weight_mode,pos_weight_value,hidden_layers,activation,batch_norm,dropout,learning_rate,batch_size,epochs,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,weight_decay,device,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,tuning_stage_1,tuning_stage_2
MLP-01e,easy,Validation,0.9865129338153403,0.9517410363904363,0.9760301537132648,0.9637325786504876,0.9988337630671977,0.9947885267419195,0.5,True,standard,False,select_k_best,40,False,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,37,32,0.03327015244599141,False,False
MLP-02e,easy,Validation,0.9862390115732147,0.946500653817727,0.980466832878541,0.9631843866314389,0.9988606626659895,0.9949468220810037,0.5,True,standard,False,select_k_best,40,False,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,52,47,0.03322938202734383,False,False
MLP-03e,easy,Validation,0.977970884949054,0.9084166985550028,0.9786803824181864,0.9422404505849666,0.9973155941477677,0.9880035172390149,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,31,26,0.04994389288319882,False,False
MLP-04e,easy,Validation,0.9851325098846283,0.9395680751173708,0.9821943893676751,0.9604084884200828,0.998708396665222,0.994255412004723,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,43,38,0.03553121252734669,False,False
MLP-05e,easy,Validation,0.9814129341757644,0.9103359265765604,0.9969571448202752,0.9516795502459593,0.9987059180060636,0.9942306173124957,0.5,True,standard,False,select_k_best,40,True,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,15,10,0.04236904798174291,False,False
MLP-06e,easy,Validation,0.9779420510288304,0.8952501896043883,0.9964467304030311,0.9431416998030399,0.9986064759287835,0.9938001615976652,0.5,True,standard,False,select_k_best,40,True,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,12,7,0.046753090641507726,False,False
MLP-07e,easy,Validation,0.9783421216719349,0.8974699221514508,0.9957988967196058,0.9440809983342484,0.9972575378653213,0.9875055218750474,0.5,True,standard,True,select_k_best,40,True,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,21,16,0.055728693364689025,False,False
MLP-08e,easy,Validation,0.9811570331337786,0.9088859867255845,0.9973497712950784,0.9510651840203677,0.9987332634246321,0.9942889772926765,0.5,True,standard,True,select_k_best,40,True,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,24,19,0.04285581512502845,False,False
MLP-04e-tune,easy,Validation,0.9888412728734083,0.966187905598971,0.9732817683896425,0.9697218636310292,0.9992198779645529,0.9965100695742917,0.55,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,,0.2,0.0005,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,59,54,0.02744698230327934,True,True
MLP-04e-tune,easy,Test,0.9880302972962745,0.9642850178428658,0.970759143289032,0.9675112502445705,0.9991671734944468,0.996288471872503,0.55,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,,0.2,0.0005,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,59,54,0.02744698230327934,True,True
