experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,smote,use_pos_weight,pos_weight_mode,pos_weight_value,hidden_layers,activation,batch_norm,dropout,learning_rate,batch_size,epochs,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,weight_decay,device,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,tuning_stage_1,tuning_stage_2
MLP-01h,hard,Validation,0.9842826074596316,0.9519843828354466,0.9682678470590378,0.9600570742235829,0.9985495709879654,0.9941741055957205,0.5,True,standard,False,select_k_best,40,False,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,34,29,0.038913926811605416,False,False
MLP-02h,hard,Validation,0.985078604730498,0.9503926655058456,0.974370184163069,0.9622320762014409,0.9986423603676475,0.9945089500018643,0.5,True,standard,False,select_k_best,40,False,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,52,47,0.03782917861101273,False,False
MLP-03h,hard,Validation,0.9772323459176712,0.9121336778404842,0.9774486766125654,0.9436623433721697,0.9966375325143847,0.9862257105643256,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,43,38,0.05714044914374792,False,False
MLP-04h,hard,Validation,0.9842968216966114,0.9533354887380106,0.9668287884583857,0.9600347288167783,0.9985341128466011,0.9940634007712825,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,37,32,0.03938227115177365,False,False
MLP-05h,hard,Validation,0.9808676370252445,0.9159987229251735,0.9929868663132776,0.9529403538214111,0.9985903313978484,0.9942145966885217,0.5,True,standard,False,select_k_best,40,True,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,23,18,0.04507183569509088,False,False
MLP-06h,hard,Validation,0.9809777973618377,0.91601450979075,0.9935879920578538,0.9532256232360214,0.9986564781951867,0.99444610788191,0.5,True,standard,False,select_k_best,40,True,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,23,18,0.044394475271281854,False,False
MLP-07h,hard,Validation,0.9758535649306346,0.8993590595111584,0.9866295061660929,0.9409751478878745,0.9968170975739586,0.9867386821235952,0.5,True,standard,True,select_k_best,40,True,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,17,12,0.06459617296355351,False,False
MLP-08h,hard,Validation,0.9803452638162383,0.9139637071076376,0.9926954114068164,0.9517040245190922,0.9984680818133256,0.9936585765260474,0.5,True,standard,True,select_k_best,40,True,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,27,22,0.046763393322202,False,False
MLP-04h-tune,hard,Validation,0.9889306629520127,0.971019502255858,0.9722753520228792,0.9716470213443772,0.9992521744484019,0.9969696782927182,0.6,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,,0.1,0.0005,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,48,43,0.027079054598194756,True,True
MLP-04h-tune,hard,Test,0.9870579602250821,0.9702897619877783,0.9631491702643131,0.9667062802815614,0.9991933645667359,0.9967089606396281,0.6,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,,0.1,0.0005,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,48,43,0.027079054598194756,True,True
