experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,smote,use_pos_weight,pos_weight_mode,pos_weight_value,hidden_layers,activation,batch_norm,dropout,learning_rate,batch_size,epochs,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,weight_decay,device,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,tuning_stage_1,tuning_stage_2
MLP-01m,medium,Validation,0.9855190576177089,0.952237413428069,0.9741735347565117,0.963080580330814,0.998758281012401,0.9948402019657636,0.5,True,standard,False,select_k_best,40,False,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,41,36,0.035246398616553654,False,False
MLP-02m,medium,Validation,0.9860244136802021,0.95294244140205,0.9761192386057013,0.964391610674356,0.9988298631322875,0.9951475792308249,0.5,True,standard,False,select_k_best,40,False,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,51,46,0.034872415056888005,False,False
MLP-03m,medium,Validation,0.9788924872771273,0.9121502309155121,0.9861047376053158,0.9476868798235942,0.9971850722154,0.9881705686247052,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,34,29,0.051739117633012435,False,False
MLP-04m,medium,Validation,0.9834264564575251,0.951351645165966,0.9638025661263974,0.9575366322911253,0.9986132487963956,0.9942214507359091,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,26,21,0.0374414324719338,False,False
MLP-05m,medium,Validation,0.9827502758105271,0.921395822720326,0.995998458121478,0.9572458079369139,0.9986749914440614,0.994468251700881,0.5,True,standard,False,select_k_best,40,True,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,22,17,0.04057738809049916,False,False
MLP-06m,medium,Validation,0.9830171892238158,0.9238969146014907,0.9943097340259549,0.9578109804614977,0.9986187000925294,0.9942180011617213,0.5,True,standard,False,select_k_best,40,True,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,22,17,0.04118031844082556,False,False
MLP-07m,medium,Validation,0.9789565464963166,0.9070367762915283,0.9932634593145983,0.9481938372306964,0.9967886598794823,0.9863271893399899,0.5,True,standard,True,select_k_best,40,True,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,23,18,0.05700848204489726,False,False
MLP-08m,medium,Validation,0.9815900921740988,0.9161124801674375,0.996273793571835,0.9545130797977578,0.9986632452600811,0.9943788590477961,0.5,True,standard,True,select_k_best,40,True,False,auto,,"[64, 32]",relu,,0.2,0.001,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,23,18,0.042155445403132374,False,False
MLP-04m-tune,medium,Validation,0.9889426669988256,0.9589408233276158,0.9851502413774115,0.9718688601772796,0.9993222953703388,0.9972429732453502,0.45,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,,0.1,0.0005,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,45,40,0.025312064837394836,True,True
MLP-04m-tune,medium,Test,0.9881846329050856,0.955442591718821,0.9849940802334866,0.9699933117622602,0.9993154843494623,0.9971298018733269,0.45,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,,0.1,0.0005,4096,200,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,45,40,0.025312064837394836,True,True
