experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,smote,C,loss,penalty,dual,tol,max_iter,class_weight,tuning_stage_1,tuning_stage_2
SVM-01e,easy,Validation,0.9506831836973015,0.8356759289292536,0.9104026384499107,0.8714402487950166,0.9904233484911086,0.9586506363549401,0.0,True,standard,False,select_k_best,40,False,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-02e,easy,Validation,0.9467509578267874,0.8265580698174201,0.8985060562633739,0.861031680337121,0.9880617116506657,0.9468467383190813,0.0,True,standard,False,select_k_best,40,False,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-03e,easy,Validation,0.9467509578267874,0.818460400486078,0.9123265081764463,0.8628481247679168,0.9868020099536426,0.9426075461457091,0.0,True,standard,True,select_k_best,40,False,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-04e,easy,Validation,0.9455723713376416,0.8244314889918888,0.8939123265081764,0.8577671868966101,0.9882855920898416,0.9488484452023819,0.0,True,standard,True,select_k_best,40,False,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-05e,easy,Validation,0.9370303224713553,0.7471568250967418,0.9930897740434638,0.8527455855703991,0.9887223669860746,0.9481751973111006,0.0,True,standard,False,select_k_best,40,True,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-06e,easy,Validation,0.9358048808618459,0.7429095175245637,0.9945032293527553,0.8504898051691864,0.9876504783535965,0.942763507600885,0.0,True,standard,False,select_k_best,40,True,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-07e,easy,Validation,0.9345542095721406,0.7397077964812729,0.9929327234535424,0.8478158838714003,0.9863881678655343,0.939641999983662,0.0,True,standard,True,select_k_best,40,True,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-08e,easy,Validation,0.9333720188429668,0.7357509189440498,0.9941498655254324,0.8456515930799546,0.9885533330396192,0.9491167660507362,0.0,True,standard,True,select_k_best,40,True,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-01e-tune,easy,Validation,0.9536999326007115,0.8109074288699173,0.9752252694399184,0.8855080213903743,0.992063046330383,0.9655133070297263,0.25,True,standard,False,select_k_best,40,False,10.0,squared_hinge,l2,False,0.0001,5000,balanced,True,True
SVM-01e-tune,easy,Test,0.9531646185535798,0.8086198342402134,0.9758632874614735,0.8844044532017952,0.992066906406674,0.9655238762023084,0.25,True,standard,False,select_k_best,40,False,10.0,squared_hinge,l2,False,0.0001,5000,balanced,True,True
