experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,smote,C,loss,penalty,dual,tol,max_iter,class_weight,tuning_stage_1,tuning_stage_2
SVM-01h,hard,Validation,0.9331042472140095,0.8479972215790692,0.8005901961855839,0.8236120871398454,0.9794004786544593,0.9216352374584991,0.0,True,standard,False,select_k_best,40,False,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-02h,hard,Validation,0.9278591937684785,0.8388708223954864,0.7800244093484161,0.8083780901050565,0.9751969029837402,0.9081541021508742,0.0,True,standard,False,select_k_best,40,False,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-03h,hard,Validation,0.9263382704116443,0.8387531725888325,0.7705339089567735,0.8031975999012617,0.9754891586284944,0.9120309908722365,0.0,True,standard,True,select_k_best,40,False,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-04h,hard,Validation,0.9282678530816466,0.8393125965317015,0.782009945898683,0.8096486430416989,0.9751085715860341,0.9075907045793437,0.0,True,standard,True,select_k_best,40,False,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-05h,hard,Validation,0.9142384011826246,0.7039580985215143,0.9670655955698855,0.8147983301614586,0.9784928001018068,0.9157794699223621,0.0,True,standard,False,select_k_best,40,True,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-06h,hard,Validation,0.9088050090971117,0.6918291818682905,0.9602710530630089,0.8042411991304016,0.9742881681996186,0.9010372150340509,0.0,True,standard,False,select_k_best,40,True,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-07h,hard,Validation,0.9062997498294292,0.6852267857838491,0.9612547133723154,0.800103102162113,0.9748102703148953,0.9068797022680961,0.0,True,standard,True,select_k_best,40,True,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-08h,hard,Validation,0.9087694735046623,0.6917384001679614,0.9602710530630089,0.8041798558407384,0.9742793751168674,0.9010748969809736,0.0,True,standard,True,select_k_best,40,True,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-01h-tune,hard,Validation,0.9397955992722311,0.8422390939748607,0.8507386560285626,0.8464675390582521,0.9795021959001983,0.9220224189459241,-0.1,True,standard,False,select_k_best,40,False,10.0,squared_hinge,l2,False,0.0001,5000,,True,True
SVM-01h-tune,hard,Test,0.9398294649948384,0.8425007893905905,0.8505656046778513,0.846513988914018,0.9796769359496351,0.9226778269329396,-0.1,True,standard,False,select_k_best,40,False,10.0,squared_hinge,l2,False,0.0001,5000,,True,True
