experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,smote,C,loss,penalty,dual,tol,max_iter,class_weight,tuning_stage_1,tuning_stage_2
SVM-01m,medium,Validation,0.9361365173137834,0.853231233321731,0.809926760770205,0.831015226992363,0.981681992815495,0.9293618344906078,0.0,True,standard,False,select_k_best,40,False,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-02m,medium,Validation,0.9304352468059361,0.839845118107172,0.7922869362506654,0.8153731357381013,0.9781102585647831,0.9149905900450329,0.0,True,standard,False,select_k_best,40,False,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-03m,medium,Validation,0.9290259439837717,0.8410491388845,0.7816589878668845,0.8102672412972952,0.9781103854682051,0.9197210415147891,0.0,True,standard,True,select_k_best,40,False,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-04m,medium,Validation,0.9307662194384142,0.8395013861155807,0.7948750894840214,0.8165789821048066,0.9780029251739577,0.91406264175222,0.0,True,standard,True,select_k_best,40,False,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-05m,medium,Validation,0.9179935229011709,0.7107309486780715,0.9730721929550836,0.8214648205970543,0.9806723092391041,0.923187567370754,0.0,True,standard,False,select_k_best,40,True,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-06m,medium,Validation,0.9130146980319584,0.6991605776498826,0.9677673966115384,0.8118224932249323,0.9777042874676625,0.9107976624283253,0.0,True,standard,False,select_k_best,40,True,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-07m,medium,Validation,0.9126374604078437,0.6980165923495243,0.9683364232089429,0.8112505382296856,0.9776008560734347,0.9153760645656465,0.0,True,standard,True,select_k_best,40,True,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-08m,medium,Validation,0.9130218157229795,0.6991527109272445,0.9678591750949908,0.8118494795836669,0.9776870497528427,0.910529111647737,0.0,True,standard,True,select_k_best,40,True,1.0,squared_hinge,l2,False,0.0001,5000,,False,False
SVM-01m-tune,medium,Validation,0.943439268301363,0.8452453383916109,0.8670129774775601,0.8559907938492765,0.9818415686012578,0.929974733732288,-0.1,True,standard,False,select_k_best,40,False,10.0,squared_hinge,l2,False,0.0001,5000,,True,True
SVM-01m-tune,medium,Test,0.9433645325456422,0.845687035559659,0.865882871224428,0.8556658020279707,0.9817085112656281,0.9300446753745998,-0.1,True,standard,False,select_k_best,40,False,10.0,squared_hinge,l2,False,0.0001,5000,,True,True
